,Layer,Head_and_neck_cancer nodes,Colonic_neoplasm nodes,sAB
0,coex_KDN,47,45,-0.34436758893280617
1,coex_BST,35,32,-0.021261993603411522
2,coex_OVR,39,29,-0.627617407468154
3,coex_LNG,44,41,-0.07185013695056752
4,coex_ITI,47,41,-0.2955253101854034
5,coex_VGN,43,39,-0.38303736346844675
6,coex_HRV,24,28,-0.022893772893772812
7,coex_MSG,43,41,-0.20221889095967382
8,coex_ADV,27,27,0.0
9,coex_EMS,33,31,-0.17366522366522363
10,coex_SMU,26,30,-0.5671245421245421
11,coex_ARG,38,34,-0.36452049095069694
12,coex_TST,41,44,-0.30902243380722605
13,coex_PIT,37,38,-0.10729729729729742
14,coex_LVR,40,42,-0.47669860627177685
15,coex_THY,39,37,-0.26645876645876676
16,coex_PNC,36,36,-0.3529063268499888
17,coex_ATC,34,36,-0.24376114081996447
18,coex_BRO,38,35,0.040338860850756886
19,coex_SKN,41,36,-0.27821382725105437
20,coex_ADS,34,32,-0.25735294117647056
21,coex_GEJ,40,35,-0.1602564102564099
22,coex_BRB,32,30,-0.12617607526881724
23,coex_UTR,30,26,-0.004131054131053968
24,coex_STM,46,41,-0.4665258833997634
25,coex_HRA,34,33,-0.16386649639503026
26,coex_PRS,35,30,-0.3864468864468864
27,coex_ATA,31,36,-0.09001929969671885
28,coex_FIB,36,34,-0.292483660130719
29,coex_BRC,39,37,-0.3026133420870263
30,coex_ATT,35,31,-0.18832565284178227
31,coex_TNV,23,27,-0.42934782608695654
32,coex_SPL,38,33,-0.3575319540849564
33,coex_LCL,33,30,-0.34729614647647433
34,coex_CLS,46,41,-0.34596984428943856
35,coex_EMC,42,36,-0.5521645021645021
36,coex_CLT,43,37,-0.17129198966408277
37,coex_core,46,43,-0.22238299454923705
38,coex_WBL,38,42,-0.5259398496240602
39,co-essential,24,22,0.16841491841491862
40,GOBP,15,7,0.8392857142857144
41,ppi,49,50,-0.23307153164296035
42,reactome_copathway,25,35,-0.23872053872053867
43,MP,13,13,-1.4265873015873014
44,HP,22,21,-0.5141447699587234
45,GI_net,29,31,-0.3676121616611049
46,gene_gene_on_CbG_name_mapped,15,19,-0.4514963880288957
47,gene_gene_on_GcG_name_mapped,31,33,-0.28141801075268824
48,GOMF,6,2,
