,Layer,Urinary_bladder_inflammation nodes,Cellulitis nodes,sAB
0,coex_KDN,34,45,0.18469308469308476
1,coex_BST,21,22,0.4029669517474397
2,coex_OVR,25,38,0.2810810810810811
3,coex_LNG,32,42,0.8114105389701463
4,coex_ITI,32,44,0.16514653110047828
5,coex_VGN,27,41,0.4261722920259503
6,coex_HRV,29,34,0.2908589099857015
7,coex_MSG,33,45,0.12781662781662773
8,coex_ADV,23,30,0.7216965046888322
9,coex_EMS,17,30,0.4530246141009595
10,coex_SMU,20,31,0.5695762175838075
11,coex_ARG,22,27,0.1405423280423279
12,coex_TST,30,35,0.08681318681318695
13,coex_PIT,34,36,0.21365546218487408
14,coex_LVR,26,36,0.3017724211272599
15,coex_THY,21,41,0.23772057997077667
16,coex_PNC,25,34,0.3756729810568298
17,coex_ATC,26,42,0.18778280542986425
18,coex_BRO,34,39,0.013028895768833815
19,coex_SKN,24,33,0.2794059011164274
20,coex_ADS,26,39,0.46153846153846123
21,coex_GEJ,22,35,0.3273208273208277
22,coex_BRB,29,31,-0.043140526510937915
23,coex_UTR,14,27,1.39893001735107
24,coex_STM,25,43,0.6011627906976744
25,coex_HRA,24,27,0.5315904139433552
26,coex_PRS,20,37,0.9687563503352972
27,coex_ATA,25,38,0.23964912280701745
28,coex_FIB,20,20,0.17499999999999982
29,coex_BRC,31,25,0.26886499402628417
30,coex_ATT,21,36,0.15906708595387853
31,coex_TNV,21,30,0.16764705882352926
32,coex_SPL,23,38,0.3217541358742544
33,coex_LCL,15,24,0.012500000000000178
34,coex_CLS,23,39,0.3547995720126864
35,coex_EMC,24,40,0.34618702553485203
36,coex_CLT,25,44,0.3909769335142468
37,coex_core,33,46,0.30877093920572185
38,coex_WBL,26,37,0.33033498759305213
39,co-essential,10,8,-0.07638888888888884
40,GOBP,4,12,1.1538461538461542
41,ppi,50,50,0.2200000000000002
42,reactome_copathway,26,21,0.695238095238095
43,MP,9,11,1.0784313725490202
44,HP,16,33,0.6206516697588129
45,GI_net,19,21,0.2543859649122808
46,gene_gene_on_CbG_name_mapped,17,8,0.17911764705882338
47,gene_gene_on_GcG_name_mapped,33,30,-0.12842712842712856
48,GOMF,3,2,
