,Layer,Celiac_disease nodes,Adrenogenital_syndrome nodes,sAB
0,coex_KDN,30,35,0.42380952380952364
1,coex_BST,15,25,0.6474725274725275
2,coex_OVR,19,31,-0.005882811282531097
3,coex_LNG,29,29,0.7201948837611267
4,coex_ITI,29,31,0.48826473859844244
5,coex_VGN,21,27,0.4548359441976464
6,coex_HRV,16,21,0.39642857142857135
7,coex_MSG,26,33,0.1674864683339259
8,coex_ADV,14,23,0.39151418499244617
9,coex_EMS,14,24,0.07283834586466176
10,coex_SMU,17,25,0.5776470588235294
11,coex_ARG,12,31,0.47839123242349024
12,coex_TST,23,36,0.26328502415458943
13,coex_PIT,21,31,0.46249589490968823
14,coex_LVR,19,33,0.19706171021960484
15,coex_THY,21,26,0.5772543059777102
16,coex_PNC,25,29,1.0477941176470589
17,coex_ATC,22,30,0.15256410256410247
18,coex_BRO,24,30,0.18333333333333313
19,coex_SKN,21,30,0.17633053221288497
20,coex_ADS,20,27,0.5385342789598107
21,coex_GEJ,17,25,0.16529411764705904
22,coex_BRB,19,20,0.10256410256410264
23,coex_UTR,10,20,0.45435571687840337
24,coex_STM,25,32,0.6693530701754389
25,coex_HRA,18,30,0.2707307060755335
26,coex_PRS,18,27,0.31699346405228734
27,coex_ATA,26,36,0.32585470085470103
28,coex_FIB,13,24,0.2806219681219684
29,coex_BRC,20,30,0.08333333333333348
30,coex_ATT,20,29,0.37083333333333357
31,coex_TNV,18,22,0.5431547619047619
32,coex_SPL,28,25,0.23706552706552708
33,coex_LCL,14,22,0.014285714285714235
34,coex_CLS,17,26,0.3826686309586447
35,coex_EMC,27,31,0.3602375960866526
36,coex_CLT,21,31,0.5337919038583174
37,coex_core,34,33,0.567825311942959
38,coex_WBL,29,30,0.7507662835249045
39,co-essential,4,7,-0.022727272727272485
40,GOBP,20,35,1.581132075471698
41,ppi,50,48,0.22607993197278908
42,reactome_copathway,17,23,1.5286412512218965
43,MP,22,12,1.6818181818181817
44,HP,17,32,0.700236344537815
45,GI_net,13,19,-0.17231781376518196
46,gene_gene_on_CbG_name_mapped,8,18,0.5042735042735043
47,gene_gene_on_GcG_name_mapped,30,30,0.018994739918176462
48,GOMF,13,9,
