,Layer,Joint_hemorrhage nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,38,29,0.3823607427055702
1,coex_BST,17,19,1.0232142857142859
2,coex_OVR,26,21,0.6577039981295298
3,coex_LNG,33,31,0.8312153796024764
4,coex_ITI,25,24,0.32409863945578254
5,coex_VGN,30,25,0.2875757575757576
6,coex_HRV,21,16,1.0639880952380953
7,coex_MSG,37,26,0.5423060423060422
8,coex_ADV,23,20,0.956521739130435
9,coex_EMS,21,22,0.559121111446693
10,coex_SMU,27,19,0.8000000000000003
11,coex_ARG,21,22,0.6032467532467534
12,coex_TST,30,24,0.23749999999999982
13,coex_PIT,27,25,0.4503469079939668
14,coex_LVR,40,33,0.33257575757575775
15,coex_THY,26,19,1.3265345765345766
16,coex_PNC,29,21,0.5463875205254514
17,coex_ATC,31,22,0.48446577767941124
18,coex_BRO,27,24,0.5601851851851851
19,coex_SKN,30,18,0.39583333333333326
20,coex_ADS,31,16,0.38879118050789296
21,coex_GEJ,20,19,1.271692745376956
22,coex_BRB,20,15,0.22291666666666643
23,coex_UTR,9,21,0.9824507389162562
24,coex_STM,30,26,0.6005494505494506
25,coex_HRA,18,19,1.0999683894420738
26,coex_PRS,21,27,0.4129062426934764
27,coex_ATA,31,17,0.9029490828589504
28,coex_FIB,13,17,0.4042606100795756
29,coex_BRC,17,23,0.27448849104859363
30,coex_ATT,30,17,1.1465277777777776
31,coex_TNV,26,15,1.1826739926739926
32,coex_SPL,35,38,0.9434684684684687
33,coex_LCL,8,16,0.2491883116883118
34,coex_CLS,20,24,0.5716799265605874
35,coex_EMC,32,26,0.5551103988603989
36,coex_CLT,27,24,0.7540384615384617
37,coex_core,31,32,0.7082111436950149
38,coex_WBL,31,34,0.6266377518749437
39,co-essential,0,11,
40,GOBP,29,28,1.2580128205128203
41,ppi,49,50,0.43469181612038765
42,reactome_copathway,21,10,0.8405555555555555
43,MP,22,15,1.3288690476190474
44,HP,24,22,0.6953227931488801
45,GI_net,8,16,-0.21022727272727293
46,gene_gene_on_CbG_name_mapped,16,15,0.1308467741935484
47,gene_gene_on_GcG_name_mapped,33,32,0.06392045454545459
48,GOMF,7,2,
