,Layer,Pulmonary_fibrosis nodes,Celiac_disease nodes,sAB
0,coex_KDN,42,30,0.20634920634920628
1,coex_BST,23,15,0.6875104918583181
2,coex_OVR,30,19,0.014204777044101835
3,coex_LNG,36,29,0.7359379235565191
4,coex_ITI,35,29,0.5926570197044336
5,coex_VGN,29,21,0.26479474548440063
6,coex_HRV,32,16,0.2227393617021276
7,coex_MSG,39,26,0.3064102564102562
8,coex_ADV,31,14,0.5003328213005629
9,coex_EMS,28,14,0.3273809523809521
10,coex_SMU,25,17,0.23463423831070873
11,coex_ARG,21,12,0.27208141321044543
12,coex_TST,34,23,0.045572181441746684
13,coex_PIT,33,21,0.2968188454627134
14,coex_LVR,35,19,0.30620996936786415
15,coex_THY,28,21,0.5680272108843538
16,coex_PNC,29,25,0.3253465179175117
17,coex_ATC,30,22,0.5375000000000001
18,coex_BRO,29,24,0.1050748210800263
19,coex_SKN,28,21,-0.06514550264550278
20,coex_ADS,29,20,0.3470238095238094
21,coex_GEJ,34,17,0.2886274509803921
22,coex_BRB,23,19,0.06935817805383016
23,coex_UTR,17,10,0.7247276688453157
24,coex_STM,34,25,0.23235294117647065
25,coex_HRA,31,18,0.27679211469534026
26,coex_PRS,30,18,0.11789785681714537
27,coex_ATA,28,26,0.3465570069343653
28,coex_FIB,26,13,0.2051282051282053
29,coex_BRC,27,20,0.16359338061465678
30,coex_ATT,26,20,0.40944055944055924
31,coex_TNV,26,18,0.4358974358974357
32,coex_SPL,23,28,0.5797745571658615
33,coex_LCL,17,14,-0.45833333333333304
34,coex_CLS,29,17,0.3293500308669195
35,coex_EMC,33,27,0.43564205653021437
36,coex_CLT,34,21,0.5367781589479703
37,coex_core,37,34,0.5798646239822709
38,coex_WBL,27,29,0.578544061302682
39,co-essential,14,4,-0.30555555555555536
40,GOBP,9,20,1.0657142857142854
41,ppi,50,50,0.1399999999999999
42,reactome_copathway,27,17,0.3599999999999999
43,MP,13,22,0.15151515151515138
44,HP,20,17,0.16967408585055654
45,GI_net,21,13,0.1352479757085021
46,gene_gene_on_CbG_name_mapped,14,8,0.06818181818181812
47,gene_gene_on_GcG_name_mapped,31,30,-0.08196721311475419
48,GOMF,3,13,
