,Layer,Cholangitis nodes,Duodenal_ulcer nodes,sAB
0,coex_KDN,42,36,-0.30018315018315
1,coex_BST,25,17,-0.17047619047619045
2,coex_OVR,26,27,0.1923076923076925
3,coex_LNG,30,36,0.3336564436675675
4,coex_ITI,35,29,-0.3530788177339903
5,coex_VGN,28,25,-0.13978991596638668
6,coex_HRV,25,23,0.06293478260869567
7,coex_MSG,32,33,-0.18807546620046622
8,coex_ADV,28,27,0.17216117216117222
9,coex_EMS,23,20,-0.09544994944388296
10,coex_SMU,28,15,0.028517823639774953
11,coex_ARG,21,19,-0.22130325814536334
12,coex_TST,32,31,-0.31590821812596026
13,coex_PIT,32,27,-0.374065170940171
14,coex_LVR,31,34,-0.2358049919719749
15,coex_THY,27,18,-0.11266511266511259
16,coex_PNC,25,24,-0.08574829931972805
17,coex_ATC,22,25,-0.1208080808080807
18,coex_BRO,25,30,-0.21969696969696972
19,coex_SKN,26,23,0.40711462450592895
20,coex_ADS,28,27,0.17400419287211744
21,coex_GEJ,28,28,-0.01521164021164001
22,coex_BRB,21,23,-0.14130434782608692
23,coex_UTR,19,15,0.013725490196078383
24,coex_STM,33,35,-0.013585434173669642
25,coex_HRA,27,27,0.3461538461538458
26,coex_PRS,26,25,-0.042745098039215446
27,coex_ATA,21,27,0.35019841269841256
28,coex_FIB,19,20,0.08742690058479519
29,coex_BRC,29,22,-0.14517625231910913
30,coex_ATT,23,23,0.0715139259123081
31,coex_TNV,20,21,0.2321428571428572
32,coex_SPL,23,23,0.46317523056653487
33,coex_LCL,19,16,0.07977296181630544
34,coex_CLS,30,26,-0.0038819875776399115
35,coex_EMC,21,25,-0.13674242424242422
36,coex_CLT,32,24,0.06659565834854941
37,coex_core,38,35,-0.03938223938223939
38,coex_WBL,28,32,0.25313873195229153
39,co-essential,11,8,-0.17464114832535893
40,GOBP,24,16,-0.04058441558441528
41,ppi,48,49,-0.06159267830843684
42,reactome_copathway,17,25,-0.4731359649122808
43,MP,17,7,0.3690476190476186
44,HP,21,16,-0.13433075933075922
45,GI_net,18,21,-0.3613247863247864
46,gene_gene_on_CbG_name_mapped,13,16,-0.2371518567639257
47,gene_gene_on_GcG_name_mapped,30,28,-0.22409688013136275
48,GOMF,6,7,
