,Layer,Gingivostomatitis nodes,Goiter nodes,sAB
0,coex_KDN,28,35,0.20833333333333304
1,coex_BST,8,21,0.4563492063492065
2,coex_OVR,13,29,0.7672098016925601
3,coex_LNG,39,26,1.028083028083028
4,coex_ITI,20,27,0.10086682427107974
5,coex_VGN,15,25,0.6625274725274726
6,coex_HRV,21,10,1.9253968253968252
7,coex_MSG,36,31,0.6505443214037339
8,coex_ADV,31,16,1.8395979429640017
9,coex_EMS,11,14,0.5690909090909093
10,coex_SMU,14,14,0.4808709808709808
11,coex_ARG,11,21,0.752813852813853
12,coex_TST,19,18,0.21479374110953087
13,coex_PIT,17,26,0.16952838827838823
14,coex_LVR,34,19,0.6861820199778024
15,coex_THY,15,27,1.6941798941798942
16,coex_PNC,20,20,0.8499999999999996
17,coex_ATC,29,20,1.2349963316214234
18,coex_BRO,21,21,0.4782051282051283
19,coex_SKN,19,20,0.7229374110953057
20,coex_ADS,22,13,1.57032967032967
21,coex_GEJ,32,22,1.0850087412587412
22,coex_BRB,20,15,0.21950036381275817
23,coex_UTR,7,19,1.087991718426501
24,coex_STM,31,23,1.3837203262168196
25,coex_HRA,21,15,1.3304437564499485
26,coex_PRS,9,18,0.4814814814814814
27,coex_ATA,34,22,1.2854278074866312
28,coex_FIB,6,23,0.8390804597701154
29,coex_BRC,13,22,0.05689102564102555
30,coex_ATT,18,21,0.8888888888888884
31,coex_TNV,13,13,1.0192307692307692
32,coex_SPL,37,24,0.5638384285925273
33,coex_LCL,13,22,2.405594405594406
34,coex_CLS,12,21,0.6757575757575758
35,coex_EMC,31,18,1.3569444444444447
36,coex_CLT,21,23,0.6870843989769817
37,coex_core,36,30,1.987912087912088
38,coex_WBL,35,17,0.26960784313725483
39,co-essential,1,9,
40,GOBP,18,20,1.025
41,ppi,47,41,0.35552790489220154
42,reactome_copathway,20,7,1.5500000000000003
43,MP,14,14,0.9642857142857144
44,HP,14,38,0.662300055157198
45,GI_net,12,16,0.3025042087542089
46,gene_gene_on_CbG_name_mapped,18,11,0.8861894810170674
47,gene_gene_on_GcG_name_mapped,25,21,0.1660041407867494
48,GOMF,9,2,
