,Layer,Eczematoid_dermatitis nodes,Intracranial_swelling nodes,sAB
0,coex_KDN,45,36,0.316025641025641
1,coex_BST,18,18,0.7407407407407409
2,coex_OVR,32,29,0.3611607142857143
3,coex_LNG,42,25,0.5037202380952381
4,coex_ITI,36,34,0.7328431372549018
5,coex_VGN,38,29,0.33345468313140736
6,coex_HRV,26,31,0.4846605007895328
7,coex_MSG,39,33,0.13626651126651135
8,coex_ADV,28,19,0.6701927691569347
9,coex_EMS,33,20,0.7946969696969699
10,coex_SMU,33,20,0.2685096153846156
11,coex_ARG,32,23,0.5824522602222464
12,coex_TST,36,30,0.020959595959596067
13,coex_PIT,34,33,0.23775507489291536
14,coex_LVR,32,34,0.28456439393939403
15,coex_THY,35,22,1.1253246753246753
16,coex_PNC,30,25,0.4754545454545456
17,coex_ATC,35,16,0.4306322529011606
18,coex_BRO,31,35,0.3744868035190616
19,coex_SKN,37,28,0.29255137861695246
20,coex_ADS,35,25,0.5257142857142854
21,coex_GEJ,37,20,1.2314496314496317
22,coex_BRB,27,33,0.3462068965517242
23,coex_UTR,20,17,0.7625000000000002
24,coex_STM,32,35,0.4259524157057366
25,coex_HRA,23,27,0.7785829307568437
26,coex_PRS,31,23,0.401098901098901
27,coex_ATA,34,22,0.8187535734705547
28,coex_FIB,14,16,0.642857142857143
29,coex_BRC,21,32,0.3972371967654986
30,coex_ATT,36,24,0.5597041847041844
31,coex_TNV,27,24,0.4870578231292515
32,coex_SPL,38,23,0.6854066985645932
33,coex_LCL,21,15,0.4750000000000001
34,coex_CLS,29,32,0.7233817301875378
35,coex_EMC,41,27,0.41861948031245033
36,coex_CLT,34,30,0.5078962619530571
37,coex_core,44,36,0.5821678321678323
38,coex_WBL,39,27,1.087179487179487
39,co-essential,4,5,1.061111111111111
40,GOBP,13,14,1.2937062937062938
41,ppi,50,50,0.22999999999999998
42,reactome_copathway,23,21,0.5423558897243108
43,MP,13,10,0.025793650793650258
44,HP,26,20,0.514046822742475
45,GI_net,22,13,-0.19270729270729214
46,gene_gene_on_CbG_name_mapped,10,23,0.30335968379446654
47,gene_gene_on_GcG_name_mapped,26,37,0.0049912549912549675
48,GOMF,9,3,
