,Layer,Cardiomyopathy nodes,Ischemic_stroke nodes,sAB
0,coex_KDN,32,46,0.09154670975323165
1,coex_BST,20,28,0.18344155844155852
2,coex_OVR,26,35,0.057160871914970546
3,coex_LNG,21,44,0.3473359973359973
4,coex_ITI,30,45,-0.03777777777777791
5,coex_VGN,30,37,-0.007798423423423628
6,coex_HRV,41,33,0.8487445316713607
7,coex_MSG,45,45,0.48888888888888893
8,coex_ADV,17,33,0.04467468805704078
9,coex_EMS,33,33,-0.02294580419580461
10,coex_SMU,32,36,0.5077614379084967
11,coex_ARG,19,33,-0.19078947368421106
12,coex_TST,31,43,0.004447540456542498
13,coex_PIT,20,40,-0.12370689655172429
14,coex_LVR,19,44,-0.024768360294676217
15,coex_THY,31,36,0.6344017094017094
16,coex_PNC,16,41,0.20444250871080127
17,coex_ATC,38,36,0.8437648174490282
18,coex_BRO,20,42,0.06474654377880151
19,coex_SKN,24,42,0.17748917748917759
20,coex_ADS,23,38,0.6629186602870814
21,coex_GEJ,21,32,0.11514423076923075
22,coex_BRB,20,32,0.1956831119544593
23,coex_UTR,18,34,0.2656209150326796
24,coex_STM,29,44,0.02546485163395884
25,coex_HRA,42,31,0.5079365079365079
26,coex_PRS,42,37,0.3756251730935276
27,coex_ATA,19,39,-0.005422209369577935
28,coex_FIB,11,36,0.3250141163184641
29,coex_BRC,25,33,-0.013733562035448843
30,coex_ATT,27,43,0.11375661375661394
31,coex_TNV,28,35,0.9042911383336913
32,coex_SPL,24,42,-0.14285714285714302
33,coex_LCL,15,13,0.3291666666666666
34,coex_CLS,26,37,0.11016651897799434
35,coex_EMC,23,42,-0.039396870651325466
36,coex_CLT,26,43,0.12007077856420612
37,coex_core,42,46,0.6437982307547525
38,coex_WBL,29,31,0.9912183127451553
39,co-essential,5,4,-1.1083333333333334
40,GOBP,29,16,1.3949478748997595
41,ppi,49,50,0.30349824778396206
42,reactome_copathway,10,27,0.9416666666666664
43,MP,31,13,0.029288572143035818
44,HP,39,28,1.1397886938931716
45,GI_net,12,20,-0.04166666666666696
46,gene_gene_on_CbG_name_mapped,5,11,-0.19318181818181834
47,gene_gene_on_GcG_name_mapped,32,31,0.04615495391705071
48,GOMF,4,3,
