,Layer,Methylmalonic_acidemia nodes,Myocardial_ischemia nodes,sAB
0,coex_KDN,48,42,0.5333333333333337
1,coex_BST,46,28,0.5860024706064015
2,coex_OVR,44,31,0.5143695014662757
3,coex_LNG,46,34,0.8043853504778105
4,coex_ITI,47,39,0.4027962800847513
5,coex_VGN,46,33,0.446781479390175
6,coex_HRV,31,29,1.5033370411568412
7,coex_MSG,47,41,0.29097277916686326
8,coex_ADV,40,27,0.6376451077943617
9,coex_EMS,47,23,0.4790537861768205
10,coex_SMU,46,27,0.7341137123745818
11,coex_ARG,45,20,0.46283720052820243
12,coex_TST,47,32,0.5000799555615405
13,coex_PIT,43,35,0.46130845898287776
14,coex_LVR,45,37,0.3313957897291231
15,coex_THY,43,22,1.5634920634920637
16,coex_PNC,43,30,0.8197462036742063
17,coex_ATC,42,30,0.8067460317460315
18,coex_BRO,41,31,0.6059751726549525
19,coex_SKN,46,30,0.5347676161919037
20,coex_ADS,25,23,1.1675724637681162
21,coex_GEJ,45,31,0.6555555555555557
22,coex_BRB,16,28,0.39042207792207817
23,coex_UTR,44,12,0.5167748917748916
24,coex_STM,43,35,0.7759775108612317
25,coex_HRA,45,31,1.0318840579710145
26,coex_PRS,44,31,0.4740581490581488
27,coex_ATA,35,30,1.2437353629976582
28,coex_FIB,46,21,0.3143573817486862
29,coex_BRC,46,26,0.51268115942029
30,coex_ATT,44,26,0.7614150555327024
31,coex_TNV,13,28,0.43242428303403946
32,coex_SPL,40,24,0.3031250000000001
33,coex_LCL,43,13,0.1243481324876674
34,coex_CLS,47,33,0.5485199640784746
35,coex_EMC,46,26,0.3782980304719432
36,coex_CLT,45,35,0.5790271132376392
37,coex_core,43,37,0.6369089566763986
38,coex_WBL,42,27,0.5234069473199909
39,co-essential,18,9,1.1666666666666665
40,GOBP,29,9,1.0357642124883508
41,ppi,50,49,0.37317666460523613
42,reactome_copathway,17,26,1.6479700854700854
43,MP,8,15,0.2857142857142856
44,HP,27,11,0.5444798865851497
45,GI_net,22,20,0.2838429221612788
46,gene_gene_on_CbG_name_mapped,18,16,0.434640522875817
47,gene_gene_on_GcG_name_mapped,31,29,0.03233222098628108
48,GOMF,3,6,
