,Layer,Renal_tubular_acidosis nodes,Systemic_mast_cell_disease nodes,sAB
0,coex_KDN,41,45,0.4953480589022756
1,coex_BST,29,26,0.1926067509231808
2,coex_OVR,31,33,-0.02834799608993155
3,coex_LNG,33,40,0.538970588235294
4,coex_ITI,30,39,0.1840022296544035
5,coex_VGN,28,35,0.198809523809524
6,coex_HRV,18,22,0.7311348781937019
7,coex_MSG,34,41,0.33669057867049235
8,coex_ADV,29,32,0.4102524630541873
9,coex_EMS,28,35,0.4881549752517498
10,coex_SMU,28,31,0.42780012497070996
11,coex_ARG,33,30,0.1625336021505377
12,coex_TST,33,38,0.22838466203922114
13,coex_PIT,33,34,0.3396613190730837
14,coex_LVR,29,35,0.6282853964722706
15,coex_THY,26,32,0.42771291208791196
16,coex_PNC,26,31,0.32778285664533513
17,coex_ATC,27,42,0.1512070105820107
18,coex_BRO,28,34,0.3426470588235295
19,coex_SKN,30,38,0.601186790505676
20,coex_ADS,19,31,1.078911997736276
21,coex_GEJ,31,32,0.3926246033844527
22,coex_BRB,15,21,0.44206349206349227
23,coex_UTR,24,28,0.2061111111111109
24,coex_STM,29,34,0.26734601886731735
25,coex_HRA,31,30,0.4041898405635893
26,coex_PRS,28,33,0.2314154424810162
27,coex_ATA,29,31,0.11318508535489658
28,coex_FIB,26,28,0.09218559218559208
29,coex_BRC,30,30,0.21666666666666656
30,coex_ATT,29,36,0.12862511052166248
31,coex_TNV,11,23,0.7576771055031926
32,coex_SPL,32,36,0.6278594771241828
33,coex_LCL,25,27,0.10717948717948733
34,coex_CLS,28,33,0.2972730821091478
35,coex_EMC,29,36,0.13543266769073203
36,coex_CLT,30,38,0.29923769923769905
37,coex_core,38,40,0.33956634544106756
38,coex_WBL,36,39,0.13888888888888884
39,co-essential,18,12,0.4361111111111111
40,GOBP,37,10,1.1843434343434347
41,ppi,49,49,0.295918367346939
42,reactome_copathway,15,19,0.6787749287749287
43,MP,21,12,2.116883116883117
44,HP,36,20,0.6174603174603173
45,GI_net,18,26,-0.07226107226107237
46,gene_gene_on_CbG_name_mapped,17,13,0.4170437405731522
47,gene_gene_on_GcG_name_mapped,31,26,-0.1873231465761176
48,GOMF,13,5,
