,Layer,Respiratory_insufficiency nodes,Intermittent_claudication nodes,sAB
0,coex_KDN,42,44,0.17478354978354993
1,coex_BST,34,33,0.23822158233922908
2,coex_OVR,34,37,0.14991014031934768
3,coex_LNG,37,41,0.09874956124956125
4,coex_ITI,39,39,0.16666666666666674
5,coex_VGN,39,38,0.3102294197031039
6,coex_HRV,19,25,0.21583732057416283
7,coex_MSG,43,39,0.14256003025146513
8,coex_ADV,33,33,0.4242424242424241
9,coex_EMS,33,36,0.22979797979797967
10,coex_SMU,41,32,0.11193827263615086
11,coex_ARG,36,38,0.27412280701754366
12,coex_TST,40,38,0.0509278002699054
13,coex_PIT,38,39,0.21052631578947367
14,coex_LVR,39,43,0.22760551248923333
15,coex_THY,37,35,0.24704269486878205
16,coex_PNC,35,38,0.06428448572411449
17,coex_ATC,35,37,0.3079579579579581
18,coex_BRO,35,38,0.2664795550520136
19,coex_SKN,37,38,0.29504504504504525
20,coex_ADS,29,32,0.7657250194136043
21,coex_GEJ,30,35,0.22399267399267386
22,coex_BRB,18,25,0.011695906432748426
23,coex_UTR,32,33,0.14238365800865793
24,coex_STM,36,38,0.19047336810494708
25,coex_HRA,37,37,0.2569047921160599
26,coex_PRS,38,37,0.227050734945472
27,coex_ATA,31,37,0.595197189599467
28,coex_FIB,30,36,0.0035353535353535026
29,coex_BRC,37,40,0.16013513513513544
30,coex_ATT,40,37,0.31934931506849296
31,coex_TNV,18,22,0.9665775401069516
32,coex_SPL,34,40,0.2637917329093802
33,coex_LCL,28,33,0.18118604559282536
34,coex_CLS,38,38,0.13400900900900892
35,coex_EMC,36,37,0.3960102960102958
36,coex_CLT,40,38,0.07543859649122786
37,coex_core,41,42,0.33310749774164417
38,coex_WBL,36,39,0.38452991452991436
39,co-essential,13,16,1.0621684350132625
40,GOBP,20,15,0.5102122015915125
41,ppi,50,49,0.0921665635951352
42,reactome_copathway,7,21,0.8326923076923074
43,MP,13,17,0.40043948613928304
44,HP,31,17,0.534629981024668
45,GI_net,17,27,0.21811249752426187
46,gene_gene_on_CbG_name_mapped,12,13,0.27102564102564086
47,gene_gene_on_GcG_name_mapped,41,37,0.1432905701198386
48,GOMF,6,6,
