,Layer,Erythroderma nodes,Conjunctivitis nodes,sAB
0,coex_KDN,25,39,-0.10630341880341887
1,coex_BST,19,30,0.21109917651271015
2,coex_OVR,31,37,0.3321840902486062
3,coex_LNG,27,39,0.4256961676316511
4,coex_ITI,24,39,0.01625457875457892
5,coex_VGN,41,35,0.21829268292682924
6,coex_HRV,9,24,-0.2529121863799286
7,coex_MSG,38,41,0.10488536097885959
8,coex_ADV,13,30,-0.18977485928705473
9,coex_EMS,24,34,-0.009212305611900007
10,coex_SMU,20,28,0.15714285714285703
11,coex_ARG,15,33,0.216161616161616
12,coex_TST,23,33,0.3240374762113891
13,coex_PIT,17,35,-0.01212023270846796
14,coex_LVR,18,35,-0.26530398322851134
15,coex_THY,21,35,0.20833333333333326
16,coex_PNC,13,33,-0.07555487990270571
17,coex_ATC,20,35,-0.1607142857142856
18,coex_BRO,15,33,-0.4043474256240214
19,coex_SKN,40,35,0.21571428571428575
20,coex_ADS,35,33,0.4960911637382228
21,coex_GEJ,27,36,0.07208994708994698
22,coex_BRB,9,23,0.3662439613526569
23,coex_UTR,11,26,0.12894537894537894
24,coex_STM,21,32,-0.09153189577717868
25,coex_HRA,16,30,-0.29221014492753605
26,coex_PRS,24,35,0.03784301856335737
27,coex_ATA,17,35,-0.09173669467787127
28,coex_FIB,12,28,-0.20446220446220442
29,coex_BRC,16,26,-0.26705586080586086
30,coex_ATT,22,35,0.04723707664884147
31,coex_TNV,25,24,1.8699829931972785
32,coex_SPL,19,37,-0.07963320463320467
33,coex_LCL,10,27,-0.20145145145145138
34,coex_CLS,21,34,-0.06318082788671031
35,coex_EMC,30,36,0.12465277777777795
36,coex_CLT,21,37,0.015444015444015635
37,coex_core,38,40,0.2708839406207826
38,coex_WBL,20,37,-0.028571428571428692
39,co-essential,2,8,0.5125000000000002
40,GOBP,25,20,2.3630434782608694
41,ppi,47,49,0.17469514401505282
42,reactome_copathway,14,25,0.3679653679653683
43,MP,22,20,1.309090909090909
44,HP,37,33,0.16557856557856554
45,GI_net,13,24,-0.23740842490842473
46,gene_gene_on_CbG_name_mapped,3,14,0.08333333333333326
47,gene_gene_on_GcG_name_mapped,22,34,-0.16147822765469821
48,GOMF,9,4,0.5833333333333333
