,Layer,Head_and_neck_neoplasm nodes,Colonic_neoplasm nodes,sAB
0,coex_KDN,45,45,-0.4158353194870048
1,coex_BST,31,32,0.22479038658474115
2,coex_OVR,38,29,-0.5226133515607201
3,coex_LNG,41,41,-0.15853658536585358
4,coex_ITI,43,41,-0.19168489857656046
5,coex_VGN,42,39,-0.42453534120200787
6,coex_HRV,21,28,0.42602040816326525
7,coex_MSG,44,41,-0.2933644189383069
8,coex_ADV,26,27,-0.023490834811589423
9,coex_EMS,34,31,-0.1044117647058822
10,coex_SMU,27,30,-0.2825536062378169
11,coex_ARG,37,34,-0.28810762634292053
12,coex_TST,39,44,-0.2698170303591989
13,coex_PIT,36,38,-0.012762762762762891
14,coex_LVR,38,42,-0.487593984962406
15,coex_THY,37,37,-0.2702702702702706
16,coex_PNC,36,36,-0.2815057008718982
17,coex_ATC,36,36,-0.14437441643324012
18,coex_BRO,39,35,0.0882189882189881
19,coex_SKN,39,36,-0.3522621522621523
20,coex_ADS,33,32,-0.046875
21,coex_GEJ,40,35,-0.11858974358974339
22,coex_BRB,33,30,-0.14456035767511155
23,coex_UTR,27,26,-0.30413105413105423
24,coex_STM,44,41,-0.42154362853788974
25,coex_HRA,36,33,0.015062388591800424
26,coex_PRS,35,30,-0.3128205128205126
27,coex_ATA,31,36,-0.023269920044113768
28,coex_FIB,33,34,-0.532853421088715
29,coex_BRC,35,37,-0.30434362934362946
30,coex_ATT,34,31,-0.1370485318238832
31,coex_TNV,27,27,-0.43472004186289936
32,coex_SPL,37,33,-0.3894816894816895
33,coex_LCL,27,30,-0.4134439634439635
34,coex_CLS,43,41,-0.2809473079770919
35,coex_EMC,38,36,-0.35085487691832307
36,coex_CLT,43,37,-0.21094402673350054
37,coex_core,44,43,-0.30338888197985336
38,coex_WBL,36,42,-0.5467532467532468
39,co-essential,19,22,-0.5270350564468211
40,GOBP,16,7,0.246428571428571
41,ppi,49,50,-0.212766439909297
42,reactome_copathway,28,35,-0.23316498316498313
43,MP,9,13,-1.9305555555555554
44,HP,21,21,-0.4285714285714286
45,GI_net,29,31,-0.23427882832777147
46,gene_gene_on_CbG_name_mapped,20,19,-0.4584345479082321
47,gene_gene_on_GcG_name_mapped,32,33,-0.30905448717948736
48,GOMF,4,2,
