,Layer,Gingival_disorder nodes,Sepsis nodes,sAB
0,coex_KDN,48,39,0.5197004862953138
1,coex_BST,42,19,0.6240704219565303
2,coex_OVR,42,27,0.36352657004830924
3,coex_LNG,47,33,0.6499966334500407
4,coex_ITI,44,34,0.35667578659370713
5,coex_VGN,42,19,0.2539751016886478
6,coex_HRV,35,33,1.3719124013241664
7,coex_MSG,47,39,0.43847930067623286
8,coex_ADV,38,34,0.9030357757137946
9,coex_EMS,39,24,0.689255189255189
10,coex_SMU,40,25,0.7104166666666667
11,coex_ARG,37,20,0.22182539682539648
12,coex_TST,46,26,0.41652731326644354
13,coex_PIT,44,32,0.6836240310077519
14,coex_LVR,43,36,0.4864790828508814
15,coex_THY,43,21,0.983545588778147
16,coex_PNC,42,29,0.6297619047619043
17,coex_ATC,39,28,0.22820512820512828
18,coex_BRO,42,32,0.8810529279279282
19,coex_SKN,46,23,0.14336650082918734
20,coex_ADS,40,23,1.081616139820908
21,coex_GEJ,39,30,0.8157190635451506
22,coex_BRB,29,33,0.6997910135841172
23,coex_UTR,42,20,0.44352802738553665
24,coex_STM,42,34,0.5681483119563615
25,coex_HRA,45,31,0.991111111111111
26,coex_PRS,45,26,0.33999999999999986
27,coex_ATA,39,31,0.7909566457953554
28,coex_FIB,39,23,0.18569065343258906
29,coex_BRC,42,25,0.3451030561478321
30,coex_ATT,43,22,0.1526681893687707
31,coex_TNV,32,23,1.255713724168913
32,coex_SPL,45,32,0.5087247689115264
33,coex_LCL,30,19,0.30277777777777803
34,coex_CLS,44,28,0.7674046709971736
35,coex_EMC,43,28,0.3610383229610217
36,coex_CLT,42,31,0.4580327080327078
37,coex_core,48,38,0.8168620826709061
38,coex_WBL,40,34,0.5843954248366012
39,co-essential,15,11,0.938228438228438
40,GOBP,25,8,2.9618807118807124
41,ppi,46,49,0.24510811189464365
42,reactome_copathway,9,26,0.2866666666666666
43,MP,12,8,1.2558823529411764
44,HP,8,14,0.18344155844155852
45,GI_net,18,22,0.36121836121836104
46,gene_gene_on_CbG_name_mapped,4,17,0.2282913165266105
47,gene_gene_on_GcG_name_mapped,35,32,0.1868936567164179
48,GOMF,6,3,
