,Layer,Parkinson_disease nodes,Huntington_disease nodes,sAB
0,coex_KDN,43,41,-0.07473797629542589
1,coex_BST,23,31,-0.13763440860215082
2,coex_OVR,31,28,0.06785714285714284
3,coex_LNG,35,34,0.08883205456095444
4,coex_ITI,38,40,-0.18986167341430504
5,coex_VGN,34,30,-0.07659313725490202
6,coex_HRV,27,22,0.10527515962298528
7,coex_MSG,37,39,-0.1847576321260529
8,coex_ADV,26,29,0.3756329877019531
9,coex_EMS,29,35,0.12366071428571423
10,coex_SMU,27,25,-0.060049019607842924
11,coex_ARG,29,32,-0.11313771905031089
12,coex_TST,31,31,0.016129032258064502
13,coex_PIT,31,32,-0.12569604454685113
14,coex_LVR,31,32,-0.0766801075268817
15,coex_THY,25,32,0.04352941176470626
16,coex_PNC,28,28,-0.1428571428571428
17,coex_ATC,26,31,0.2257575757575756
18,coex_BRO,41,35,-0.033385292499541475
19,coex_SKN,34,36,0.10294117647058809
20,coex_ADS,27,29,0.579403983815749
21,coex_GEJ,30,37,0.33901098901098914
22,coex_BRB,27,23,-0.3082769726247989
23,coex_UTR,25,26,0.35148936170212774
24,coex_STM,35,33,-0.08803157626687041
25,coex_HRA,30,31,-0.03843159065628465
26,coex_PRS,30,27,-0.0504578754578755
27,coex_ATA,26,30,-0.053660477453580935
28,coex_FIB,24,26,-0.28230769230769237
29,coex_BRC,34,33,-0.05857743368717916
30,coex_ATT,30,31,-0.09219503151649944
31,coex_TNV,20,25,0.2419241192411925
32,coex_SPL,28,28,-0.0714285714285714
33,coex_LCL,15,25,-0.022023809523809446
34,coex_CLS,37,35,0.1283471359558317
35,coex_EMC,32,33,-0.34541483382209215
36,coex_CLT,36,34,-0.025365596261118784
37,coex_core,38,38,0.21248952629630358
38,coex_WBL,26,33,0.030312907431551128
39,co-essential,10,10,-0.4035087719298249
40,GOBP,13,12,-0.187417654808959
41,ppi,48,50,0.04202380952380946
42,reactome_copathway,15,15,0.6346153846153846
43,MP,13,16,-0.20089285714285676
44,HP,23,18,-0.05546718510663373
45,GI_net,22,16,0.14583333333333348
46,gene_gene_on_CbG_name_mapped,17,11,0.0030557677616500634
47,gene_gene_on_GcG_name_mapped,29,33,0.028482826035662656
48,GOMF,5,8,
