,Layer,Intracranial_swelling nodes,Lymphoma nodes,sAB
0,coex_KDN,36,48,0.1566358024691361
1,coex_BST,18,30,0.7705128205128204
2,coex_OVR,29,38,0.46966848940533135
3,coex_LNG,25,46,0.4887574595055413
4,coex_ITI,34,46,0.5889066496163684
5,coex_VGN,29,42,0.7274755479403159
6,coex_HRV,31,26,0.3956645910389063
7,coex_MSG,33,46,0.10915845299444626
8,coex_ADV,19,32,0.7588950053705688
9,coex_EMS,20,36,0.4043650793650797
10,coex_SMU,20,38,0.353130671506352
11,coex_ARG,23,33,0.37859966120835686
12,coex_TST,30,42,0.12341269841269864
13,coex_PIT,33,41,0.10111663770200363
14,coex_LVR,34,41,0.41308943089430894
15,coex_THY,22,40,0.9901515151515157
16,coex_PNC,25,35,0.6538095238095236
17,coex_ATC,16,44,0.3030303030303032
18,coex_BRO,35,39,0.17574497574497583
19,coex_SKN,28,42,0.4563769563769564
20,coex_ADS,25,35,0.6399999999999997
21,coex_GEJ,20,39,0.7414918414918414
22,coex_BRB,33,26,-0.1965449804432855
23,coex_UTR,17,30,0.7504310344827587
24,coex_STM,35,42,0.6126713843432112
25,coex_HRA,27,35,0.8218769617074704
26,coex_PRS,23,37,0.609572626814006
27,coex_ATA,22,35,0.3607883344725451
28,coex_FIB,16,36,0.42647058823529393
29,coex_BRC,32,34,0.39683600713012446
30,coex_ATT,24,39,0.1291068580542265
31,coex_TNV,24,21,0.4585317460317455
32,coex_SPL,23,41,1.0220409671629183
33,coex_LCL,15,39,0.49736842105263124
34,coex_CLS,32,39,0.3196517412935327
35,coex_EMC,27,39,0.3978243978243978
36,coex_CLT,30,39,0.4017139576841071
37,coex_core,36,45,0.5290084388185654
38,coex_WBL,27,47,1.124453512095599
39,co-essential,5,21,2.45
40,GOBP,14,8,1.1910256410256408
41,ppi,50,50,0.31999999999999984
42,reactome_copathway,21,34,0.03293700458906956
43,MP,10,9,0.8631535947712425
44,HP,20,32,0.4442307692307692
45,GI_net,13,32,-0.04035790598290623
46,gene_gene_on_CbG_name_mapped,23,10,0.2927536231884058
47,gene_gene_on_GcG_name_mapped,37,35,-0.04235306735306743
48,GOMF,3,4,
