,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Abetalipoproteinaemia nodes,sAB
0,coex_KDN,34,40,0.02038950715421306
1,coex_BST,25,31,0.3934331797235022
2,coex_OVR,18,36,0.18981481481481488
3,coex_LNG,27,37,0.32077389889889885
4,coex_ITI,33,40,0.2171855541718557
5,coex_VGN,34,33,0.34178040279884003
6,coex_HRV,16,24,0.17379385964912286
7,coex_MSG,25,40,0.3946153846153846
8,coex_ADV,23,28,0.4425009134088418
9,coex_EMS,28,30,0.6478557504873295
10,coex_SMU,24,30,0.19351851851851842
11,coex_ARG,30,28,0.529392446633826
12,coex_TST,32,36,0.226010101010101
13,coex_PIT,35,32,0.1121468550106608
14,coex_LVR,22,35,0.009090909090909038
15,coex_THY,23,31,0.7455724225173941
16,coex_PNC,30,29,0.38956442831216
17,coex_ATC,29,36,0.36013852048334805
18,coex_BRO,45,36,0.31893939393939386
19,coex_SKN,25,35,0.22847290640394102
20,coex_ADS,21,33,1.3274225774225772
21,coex_GEJ,29,32,0.7680231703989757
22,coex_BRB,35,27,0.38453661034306164
23,coex_UTR,17,21,0.25630252100840334
24,coex_STM,29,37,-0.01265215058318514
25,coex_HRA,23,32,0.24165019762845863
26,coex_PRS,23,33,-0.07568699416525515
27,coex_ATA,25,30,0.3349358974358978
28,coex_FIB,16,26,0.2696886446886446
29,coex_BRC,37,34,0.09382848321467252
30,coex_ATT,26,32,0.5121909340659339
31,coex_TNV,21,21,0.9250000000000003
32,coex_SPL,24,36,0.1777777777777778
33,coex_LCL,11,24,0.18560606060606055
34,coex_CLS,31,32,0.30317140296979006
35,coex_EMC,22,30,0.24965034965034993
36,coex_CLT,30,34,0.23572303921568638
37,coex_core,32,39,0.37067669172932316
38,coex_WBL,18,34,0.46832579185520373
39,co-essential,6,6,-0.24999999999999956
40,GOBP,29,24,1.4571428571428573
41,ppi,50,50,0.20999999999999996
42,reactome_copathway,13,12,0.839646464646465
43,MP,12,14,1.4590017825311943
44,HP,20,27,0.27417257683215124
45,GI_net,17,13,-0.026546003016591158
46,gene_gene_on_CbG_name_mapped,17,11,0.36936592818945746
47,gene_gene_on_GcG_name_mapped,38,30,-0.007223942208462342
48,GOMF,6,7,
