,Layer,Basal_cell_carcinoma nodes,Testicular_neoplasm nodes,sAB
0,coex_KDN,44,41,0.09565423556754737
1,coex_BST,41,32,0.07329080354159712
2,coex_OVR,41,35,0.01734824867045659
3,coex_LNG,43,41,0.23922966804418877
4,coex_ITI,44,36,0.026388888888888795
5,coex_VGN,43,42,0.17500162855840018
6,coex_HRV,19,15,0.11896929824561386
7,coex_MSG,45,41,0.14586878426923788
8,coex_ADV,39,36,0.44961538461538453
9,coex_EMS,42,40,0.3077262243928911
10,coex_SMU,39,33,-0.05827505827505819
11,coex_ARG,39,35,-0.05502425502425523
12,coex_TST,46,43,0.06460390134172522
13,coex_PIT,44,35,0.2322867006411311
14,coex_LVR,38,34,-0.11545407636738902
15,coex_THY,34,32,0.0755997474747474
16,coex_PNC,40,33,-0.11649024491490279
17,coex_ATC,42,39,0.17307692307692313
18,coex_BRO,45,34,0.02257575757575747
19,coex_SKN,43,41,0.28305377738162774
20,coex_ADS,20,32,1.212784090909091
21,coex_GEJ,39,42,0.5842220466739083
22,coex_BRB,16,12,0.05555555555555536
23,coex_UTR,41,41,0.09804878048780474
24,coex_STM,39,36,0.006367521367521389
25,coex_HRA,42,34,0.00869821612855648
26,coex_PRS,38,35,0.2461891028942218
27,coex_ATA,35,30,0.5833333333333335
28,coex_FIB,41,33,-0.011036535426779404
29,coex_BRC,44,34,0.08112230906348539
30,coex_ATT,39,35,0.0767151767151768
31,coex_TNV,14,21,1.0701058201058204
32,coex_SPL,41,34,-0.19640841702534684
33,coex_LCL,36,31,0.12271160738902687
34,coex_CLS,42,36,0.07234432234432231
35,coex_EMC,43,38,-0.000890878948917706
36,coex_CLT,42,38,0.057181955916133065
37,coex_core,42,41,0.24089738745924483
38,coex_WBL,36,32,0.10365604575163401
39,co-essential,15,20,-0.31182795698924703
40,GOBP,18,17,0.5645833333333332
41,ppi,49,49,0.09183673469387732
42,reactome_copathway,17,22,0.17769908946379553
43,MP,10,10,1.0
44,HP,21,23,0.02249200075287039
45,GI_net,23,27,0.029353163025688467
46,gene_gene_on_CbG_name_mapped,7,11,-0.2150072150072151
47,gene_gene_on_GcG_name_mapped,31,36,-0.052345797892259016
48,GOMF,3,3,
