,Layer,Orthostatic_hypotension nodes,Trigeminal_neuralgia nodes,sAB
0,coex_KDN,36,38,0.12533586217796722
1,coex_BST,23,27,-0.15677179962894283
2,coex_OVR,28,30,0.16412151067323455
3,coex_LNG,28,33,0.09626531660429949
4,coex_ITI,34,33,0.05734030382845123
5,coex_VGN,33,34,-0.058151754596003746
6,coex_HRV,15,21,0.437878787878788
7,coex_MSG,34,36,-0.0034547152194210895
8,coex_ADV,22,26,0.1331585081585085
9,coex_EMS,26,27,0.012108262108262213
10,coex_SMU,24,25,0.0029761904761906877
11,coex_ARG,28,30,0.12380952380952381
12,coex_TST,36,40,0.09480994152046773
13,coex_PIT,31,36,0.4101814516129032
14,coex_LVR,30,29,0.28762906682252076
15,coex_THY,27,28,0.18720538720538737
16,coex_PNC,28,25,0.06270889487870646
17,coex_ATC,31,31,-0.06451612903225801
18,coex_BRO,32,37,0.30482520564042304
19,coex_SKN,28,28,0.2156084656084658
20,coex_ADS,23,28,0.36027889416636194
21,coex_GEJ,28,31,0.1459028550241004
22,coex_BRB,21,34,0.6904761904761902
23,coex_UTR,22,25,0.1584332688588006
24,coex_STM,32,36,0.485702614379085
25,coex_HRA,30,30,0.08928571428571441
26,coex_PRS,24,28,0.10439560439560447
27,coex_ATA,26,29,-0.010647615234472774
28,coex_FIB,18,27,0.3444444444444441
29,coex_BRC,26,39,0.3248355263157894
30,coex_ATT,28,29,-0.0011063011063012773
31,coex_TNV,23,17,0.41876750700280096
32,coex_SPL,29,30,0.1353107344632769
33,coex_LCL,21,19,0.037055476529160636
34,coex_CLS,28,31,-0.13360149964851997
35,coex_EMC,30,31,0.22845055526176639
36,coex_CLT,32,33,0.07793560606060601
37,coex_core,33,38,0.08193139097744373
38,coex_WBL,28,31,0.4538779973443723
39,co-essential,7,16,0.577083333333333
40,GOBP,16,10,1.0666666666666664
41,ppi,50,49,0.14157493300350454
42,reactome_copathway,17,25,0.9219594594594596
43,MP,20,11,1.2750487329434703
44,HP,29,25,0.32178799489144305
45,GI_net,25,26,0.35083333333333355
46,gene_gene_on_CbG_name_mapped,15,13,0.08717948717948731
47,gene_gene_on_GcG_name_mapped,35,40,0.0439785373608903
48,GOMF,8,3,
