,Layer,Stomatitis nodes,Cholelithiasis nodes,sAB
0,coex_KDN,47,30,0.0880814221239754
1,coex_BST,31,22,0.15499640347479682
2,coex_OVR,33,20,0.045097198399085325
3,coex_LNG,43,28,0.31163003663003686
4,coex_ITI,45,27,0.12870370370370376
5,coex_VGN,35,24,-0.05106941081517369
6,coex_HRV,25,19,0.6623613086770983
7,coex_MSG,41,25,0.03846267553584637
8,coex_ADV,33,20,0.29575757575757544
9,coex_EMS,35,22,0.11183640920482985
10,coex_SMU,35,21,0.13928571428571468
11,coex_ARG,31,22,0.24694203700288897
12,coex_TST,40,26,0.2398310023310024
13,coex_PIT,37,24,0.10813579973416032
14,coex_LVR,35,32,0.1916552197802197
15,coex_THY,37,21,0.5262113617376776
16,coex_PNC,33,19,0.12642620537357363
17,coex_ATC,42,21,0.11168558690195196
18,coex_BRO,37,22,0.1438075209261651
19,coex_SKN,38,22,0.23436726612770165
20,coex_ADS,30,16,0.3011494252873561
21,coex_GEJ,36,19,0.25980635551142006
22,coex_BRB,22,13,0.4114219114219111
23,coex_UTR,31,17,-0.03609625668449157
24,coex_STM,40,23,0.3675379572118702
25,coex_HRA,34,21,0.15431627196333064
26,coex_PRS,37,20,0.1035714285714282
27,coex_ATA,38,14,0.30578947368421083
28,coex_FIB,33,17,0.08181818181818157
29,coex_BRC,33,23,0.29816017316017307
30,coex_ATT,35,21,0.5178571428571428
31,coex_TNV,21,17,0.7892156862745101
32,coex_SPL,43,27,0.4049344375431332
33,coex_LCL,33,14,0.016579165515335337
34,coex_CLS,36,26,0.342156051833471
35,coex_EMC,37,26,0.28343444327050893
36,coex_CLT,38,24,0.34362620260328236
37,coex_core,46,27,0.2831533579615422
38,coex_WBL,43,24,0.4685656022214508
39,co-essential,13,4,0.20833333333333304
40,GOBP,15,32,1.2239583333333335
41,ppi,49,48,0.28892059401080017
42,reactome_copathway,22,15,0.5806451612903225
43,MP,11,13,1.0909090909090913
44,HP,25,20,0.5455555555555556
45,GI_net,27,12,0.275025025025025
46,gene_gene_on_CbG_name_mapped,8,19,0.12158869395711513
47,gene_gene_on_GcG_name_mapped,28,29,0.016949701840809128
48,GOMF,4,4,
