,Layer,Purpura nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,41,31,0.14748692553339238
1,coex_BST,24,21,0.2367276887871852
2,coex_OVR,30,24,0.37083333333333357
3,coex_LNG,39,25,0.5313301282051279
4,coex_ITI,40,27,0.2811705362078496
5,coex_VGN,30,28,0.3008658008658007
6,coex_HRV,22,40,2.1359848484848483
7,coex_MSG,38,44,0.3867866728906524
8,coex_ADV,29,20,0.536734693877551
9,coex_EMS,27,34,0.44566993464052285
10,coex_SMU,26,36,0.6390267438654538
11,coex_ARG,30,21,0.44166666666666665
12,coex_TST,30,30,-0.1166666666666667
13,coex_PIT,29,26,0.03508560405112138
14,coex_LVR,36,18,0.14000000000000012
15,coex_THY,37,31,0.7083861097859883
16,coex_PNC,25,16,0.06500000000000039
17,coex_ATC,36,38,1.0568594910700173
18,coex_BRO,33,27,0.2968013468013466
19,coex_SKN,31,24,0.1515395894428151
20,coex_ADS,30,21,0.770390070921986
21,coex_GEJ,32,24,0.7101715686274508
22,coex_BRB,23,21,0.26948051948051965
23,coex_UTR,17,22,0.23071172248803817
24,coex_STM,33,29,0.16209930225503077
25,coex_HRA,27,43,0.7558139534883721
26,coex_PRS,28,43,0.5492606803612374
27,coex_ATA,32,19,0.0555018059855521
28,coex_FIB,22,17,0.2182572329631154
29,coex_BRC,24,30,0.1169217687074835
30,coex_ATT,35,29,0.40197044334975374
31,coex_TNV,19,26,0.9393939393939394
32,coex_SPL,42,23,0.4791049530179965
33,coex_LCL,24,24,0.34166666666666656
34,coex_CLS,33,28,0.15151515151515138
35,coex_EMC,33,19,0.4636044657097287
36,coex_CLT,33,24,0.3708133971291867
37,coex_core,42,41,1.0396072611519767
38,coex_WBL,43,34,1.4211465227197102
39,co-essential,6,11,2.377272727272727
40,GOBP,19,23,1.7639912639912643
41,ppi,48,49,0.42083508661196434
42,reactome_copathway,18,17,0.5790441176470589
43,MP,13,25,1.2681981981981982
44,HP,30,38,0.4998968008255935
45,GI_net,19,17,0.06811145510835903
46,gene_gene_on_CbG_name_mapped,12,11,0.4377470355731228
47,gene_gene_on_GcG_name_mapped,35,27,-0.048045741594128666
48,GOMF,5,2,
