,Layer,Extrapyramidal_disease nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,37,31,0.20516837401918053
1,coex_BST,30,21,0.12258703184293007
2,coex_OVR,29,24,0.17422161172161177
3,coex_LNG,29,25,0.07420178799489152
4,coex_ITI,38,27,0.05988903883640728
5,coex_VGN,36,28,0.015677855841790267
6,coex_HRV,17,40,0.7266124871001034
7,coex_MSG,37,44,0.4138873722207057
8,coex_ADV,31,20,0.2451612903225806
9,coex_EMS,23,34,0.19092774530531043
10,coex_SMU,21,36,0.5572263993316628
11,coex_ARG,30,21,0.5
12,coex_TST,32,30,-0.08276209677419333
13,coex_PIT,33,26,-0.07455256607798977
14,coex_LVR,29,18,0.11192630635037104
15,coex_THY,22,31,1.0629683936135548
16,coex_PNC,32,16,0.06984572230014008
17,coex_ATC,30,38,0.98312693498452
18,coex_BRO,38,27,0.26570700254910795
19,coex_SKN,33,24,0.015350877192982448
20,coex_ADS,30,21,0.7483333333333335
21,coex_GEJ,26,24,0.2909165302782326
22,coex_BRB,28,21,0.32397959183673475
23,coex_UTR,24,22,0.1253293807641631
24,coex_STM,33,29,-0.06473354231974948
25,coex_HRA,27,43,0.5662714698282416
26,coex_PRS,29,43,0.5781765125189344
27,coex_ATA,30,19,0.034664246823956635
28,coex_FIB,21,17,0.33775615509361634
29,coex_BRC,28,30,0.0012353998203056271
30,coex_ATT,28,29,0.41748768472906406
31,coex_TNV,21,26,0.9428571428571431
32,coex_SPL,28,23,0.2201467543539155
33,coex_LCL,18,24,0.21330645161290285
34,coex_CLS,31,28,0.15957423699359174
35,coex_EMC,32,19,0.2371441997851771
36,coex_CLT,33,24,0.1929824561403508
37,coex_core,38,41,0.661649111083757
38,coex_WBL,27,34,1.1612763879498158
39,co-essential,10,11,1.7272727272727275
40,GOBP,16,23,1.6350122850122846
41,ppi,49,49,0.1428571428571428
42,reactome_copathway,15,17,0.6215686274509804
43,MP,19,25,2.1630930930930927
44,HP,22,38,0.5948165869218502
45,GI_net,16,17,0.059653700189753245
46,gene_gene_on_CbG_name_mapped,14,11,0.06675324675324679
47,gene_gene_on_GcG_name_mapped,38,27,0.06253561253561246
48,GOMF,5,2,
