,Layer,Macular_degeneration nodes,Rectal_neoplasm nodes,sAB
0,coex_KDN,38,48,0.23937933496532038
1,coex_BST,19,45,0.15555555555555545
2,coex_OVR,33,45,0.44222222222222207
3,coex_LNG,27,47,0.165756787660023
4,coex_ITI,35,47,0.30057083549558894
5,coex_VGN,34,47,0.4167392785285404
6,coex_HRV,24,16,0.31041666666666634
7,coex_MSG,36,48,0.14583333333333348
8,coex_ADV,22,42,0.2717803030303032
9,coex_EMS,25,44,0.2528260869565222
10,coex_SMU,27,42,0.4825166781688519
11,coex_ARG,26,44,0.0533730974907447
12,coex_TST,34,48,0.05865913438546122
13,coex_PIT,31,45,0.2814280324467082
14,coex_LVR,31,44,0.24386608015640276
15,coex_THY,28,35,0.28214285714285703
16,coex_PNC,29,44,0.34766435604220947
17,coex_ATC,29,44,0.21987734487734478
18,coex_BRO,32,42,0.2682995495495497
19,coex_SKN,35,47,0.35880498771612657
20,coex_ADS,27,31,0.8902014652014651
21,coex_GEJ,21,43,0.1938538205980067
22,coex_BRB,29,17,0.10856336537613531
23,coex_UTR,24,43,0.29463149369431907
24,coex_STM,33,47,0.40468246292714394
25,coex_HRA,34,42,0.35169202816261635
26,coex_PRS,31,45,0.32134502923976616
27,coex_ATA,30,40,0.5866778149386844
28,coex_FIB,27,46,0.003870177587262713
29,coex_BRC,31,45,0.06795505182601969
30,coex_ATT,30,40,0.7178910544727639
31,coex_TNV,28,11,1.8265180765180764
32,coex_SPL,33,46,0.06761061356548415
33,coex_LCL,14,38,0.39358010410641997
34,coex_CLS,33,46,0.25828157349896497
35,coex_EMC,30,45,0.1544444444444446
36,coex_CLT,35,48,0.37444779116465843
37,coex_core,37,48,0.24540730489525675
38,coex_WBL,30,43,0.22883614739301272
39,co-essential,4,25,0.42565217391304344
40,GOBP,27,18,1.0435877053524112
41,ppi,50,49,0.2651226551226551
42,reactome_copathway,10,25,0.3500000000000001
43,MP,18,20,1.5866013071895422
44,HP,30,30,0.6000000000000001
45,GI_net,10,35,0.23968253968253972
46,gene_gene_on_CbG_name_mapped,8,15,0.071195652173913
47,gene_gene_on_GcG_name_mapped,36,40,0.07361111111111107
48,GOMF,5,6,
