,Layer,Optic_neuritis nodes,Keratitis nodes,sAB
0,coex_KDN,38,39,0.10391363022941968
1,coex_BST,23,29,0.09100449775112462
2,coex_OVR,24,41,0.05312500000000009
3,coex_LNG,34,35,0.3871617846595896
4,coex_ITI,33,35,0.24928013163307283
5,coex_VGN,29,39,0.19476517397409876
6,coex_HRV,14,20,0.7535714285714286
7,coex_MSG,34,45,0.22816662529990905
8,coex_ADV,27,30,0.28391812865497057
9,coex_EMS,25,31,0.17601382488479267
10,coex_SMU,28,25,0.230579514824798
11,coex_ARG,29,31,0.38294401186503535
12,coex_TST,32,35,-0.10655650319829446
13,coex_PIT,32,37,0.2868561496278885
14,coex_LVR,33,32,0.2699132744495647
15,coex_THY,28,24,0.3560729847494555
16,coex_PNC,30,32,0.19385952515545535
17,coex_ATC,30,30,0.2833333333333332
18,coex_BRO,32,35,0.2576388888888892
19,coex_SKN,27,37,0.3275253275253278
20,coex_ADS,23,31,1.3073316283034955
21,coex_GEJ,27,40,0.5251230251230252
22,coex_BRB,22,24,0.46997929606625233
23,coex_UTR,22,22,0.23744085371992352
24,coex_STM,30,33,0.059595959595959425
25,coex_HRA,28,31,0.6322249589490969
26,coex_PRS,26,32,0.19660027472527464
27,coex_ATA,27,29,0.7854406130268199
28,coex_FIB,25,21,0.39262939958592136
29,coex_BRC,30,27,0.08206627680311884
30,coex_ATT,26,27,0.6465610859728512
31,coex_TNV,15,21,0.638095238095238
32,coex_SPL,31,28,0.24376026272577977
33,coex_LCL,26,21,0.2736363636363639
34,coex_CLS,28,30,0.07077175697865368
35,coex_EMC,33,34,0.23733031674208127
36,coex_CLT,33,33,0.10227272727272729
37,coex_core,38,43,0.5265404459042808
38,coex_WBL,35,30,0.3708791208791209
39,co-essential,13,6,0.7975113122171944
40,GOBP,21,20,1.3327903091060982
41,ppi,50,50,0.15999999999999992
42,reactome_copathway,22,20,0.4970760233918132
43,MP,11,16,1.3643939393939393
44,HP,17,33,0.7868805704099822
45,GI_net,19,25,0.3470816464237516
46,gene_gene_on_CbG_name_mapped,7,6,0.06776556776556775
47,gene_gene_on_GcG_name_mapped,36,30,0.05707070707070705
48,GOMF,10,2,
