,Layer,Chorea nodes,Hepatocellular_carcinoma nodes,sAB
0,coex_KDN,42,42,0.024250311349929277
1,coex_BST,40,30,0.2968905472636818
2,coex_OVR,37,31,0.3496436735242707
3,coex_LNG,40,36,0.15665204678362565
4,coex_ITI,45,44,0.24484734990352952
5,coex_VGN,41,38,0.3203149120098796
6,coex_HRV,19,24,-0.05780803753569996
7,coex_MSG,44,41,0.23831681231250812
8,coex_ADV,33,25,0.35318704284221525
9,coex_EMS,40,31,0.3578941390277146
10,coex_SMU,37,33,0.19081549081549065
11,coex_ARG,38,33,0.29027113237639557
12,coex_TST,47,43,0.11526746934960697
13,coex_PIT,45,38,0.1100260691890369
14,coex_LVR,33,41,0.12250054932981769
15,coex_THY,37,32,0.3884803921568625
16,coex_PNC,36,37,0.3816384878028716
17,coex_ATC,38,37,0.12200646933884163
18,coex_BRO,42,33,0.29874458874458876
19,coex_SKN,41,37,0.2155823741189593
20,coex_ADS,33,26,0.6213286713286714
21,coex_GEJ,44,36,0.44254855052068676
22,coex_BRB,26,25,0.2344494720965309
23,coex_UTR,31,26,0.20236385007182944
24,coex_STM,43,42,0.02329489935509077
25,coex_HRA,40,32,0.11458333333333326
26,coex_PRS,39,33,0.2454351204351206
27,coex_ATA,36,29,0.30485558502799925
28,coex_FIB,27,34,0.18198653198653214
29,coex_BRC,44,35,0.03016192668091433
30,coex_ATT,39,32,0.22459207459207464
31,coex_TNV,21,21,0.29686411149825753
32,coex_SPL,35,39,0.12937332937332924
33,coex_LCL,26,27,0.1200150829562594
34,coex_CLS,39,39,0.5254251012145752
35,coex_EMC,39,39,0.1944984839721684
36,coex_CLT,42,40,0.2505952380952383
37,coex_core,43,41,0.24771088242443917
38,coex_WBL,35,37,0.049420849420849455
39,co-essential,13,24,1.7844551282051282
40,GOBP,23,9,0.6821428571428574
41,ppi,50,50,0.18999999999999995
42,reactome_copathway,16,29,0.7270114942528734
43,MP,17,11,0.9052884615384618
44,HP,26,24,1.1267948717948717
45,GI_net,21,30,0.2845938375350141
46,gene_gene_on_CbG_name_mapped,8,13,0.18772893772893795
47,gene_gene_on_GcG_name_mapped,38,35,0.06585127201565566
48,GOMF,3,4,
