,Layer,Urinary_bladder_inflammation nodes,Biliary_cirrhosis nodes,sAB
0,coex_KDN,34,42,-0.09727272727272718
1,coex_BST,21,18,0.40218790218790224
2,coex_OVR,25,22,0.25151515151515147
3,coex_LNG,32,32,0.725806451612903
4,coex_ITI,32,38,0.19175281954887224
5,coex_VGN,27,25,0.4827513227513227
6,coex_HRV,29,17,0.05906676022453894
7,coex_MSG,33,23,0.14683062509149458
8,coex_ADV,23,26,0.4485693050910444
9,coex_EMS,17,19,0.32008943928448597
10,coex_SMU,20,19,0.2294197031039138
11,coex_ARG,22,18,0.12576312576312532
12,coex_TST,30,24,0.21157407407407391
13,coex_PIT,34,26,0.23242835595776756
14,coex_LVR,26,30,0.22792022792022792
15,coex_THY,21,29,-0.05102040816326525
16,coex_PNC,25,20,0.1361111111111113
17,coex_ATC,26,25,0.1211161387631976
18,coex_BRO,34,23,0.00187328936151121
19,coex_SKN,24,23,0.378138692281766
20,coex_ADS,26,24,0.036282051282050976
21,coex_GEJ,22,22,0.24523809523809526
22,coex_BRB,29,18,0.02213599082811535
23,coex_UTR,14,20,0.7111933058452582
24,coex_STM,25,28,0.521765498652291
25,coex_HRA,24,20,0.09523809523809534
26,coex_PRS,20,25,0.26696741854636574
27,coex_ATA,25,24,0.18527210884353718
28,coex_FIB,20,17,0.18954689984101747
29,coex_BRC,31,24,0.23217109424414928
30,coex_ATT,21,26,0.08044090056285214
31,coex_TNV,21,20,0.05264227642276431
32,coex_SPL,23,36,0.8594530418406616
33,coex_LCL,15,18,-0.10947580645161281
34,coex_CLS,23,35,0.14350649350649336
35,coex_EMC,24,25,0.3295652173913046
36,coex_CLT,25,30,0.32893081761006293
37,coex_core,33,35,0.34491978609625673
38,coex_WBL,26,32,0.4042191644562334
39,co-essential,10,4,-0.8928571428571428
40,GOBP,4,20,1.1843137254901954
41,ppi,50,50,0.06999999999999984
42,reactome_copathway,26,21,0.3947674418604652
43,MP,9,19,1.149749373433584
44,HP,16,19,0.21630639097744364
45,GI_net,19,20,-0.11682076813655762
46,gene_gene_on_CbG_name_mapped,17,15,0.002450980392156854
47,gene_gene_on_GcG_name_mapped,33,33,-0.19696969696969702
48,GOMF,3,4,
