,Layer,Cardiomyopathy nodes,Thrombophlebitis nodes,sAB
0,coex_KDN,32,46,0.04806844888366624
1,coex_BST,20,38,0.4030214424951266
2,coex_OVR,26,38,0.08135121457489891
3,coex_LNG,21,43,0.5320113510520488
4,coex_ITI,30,42,0.22777777777777786
5,coex_VGN,30,41,0.20499760879961726
6,coex_HRV,41,21,1.6962814874050376
7,coex_MSG,45,43,0.5008574113225275
8,coex_ADV,17,34,0.23039215686274517
9,coex_EMS,33,39,0.40039235190097267
10,coex_SMU,32,39,0.5505823401950163
11,coex_ARG,19,38,0.10526315789473673
12,coex_TST,31,45,0.1929211469534049
13,coex_PIT,20,42,0.048809523809523636
14,coex_LVR,19,43,0.22635922138429354
15,coex_THY,31,38,0.783918128654971
16,coex_PNC,16,43,0.29655172413793096
17,coex_ATC,38,40,1.2178812415654523
18,coex_BRO,20,41,0.3666666666666667
19,coex_SKN,24,45,0.3099033816425123
20,coex_ADS,23,33,0.5476689976689975
21,coex_GEJ,21,38,0.4979137031768608
22,coex_BRB,20,18,0.21281512605041986
23,coex_UTR,18,38,0.47921888053467
24,coex_STM,29,43,0.37008821170809947
25,coex_HRA,42,41,0.7091641828638595
26,coex_PRS,42,40,0.49846109175377484
27,coex_ATA,19,35,0.36750208855472044
28,coex_FIB,11,40,0.25886809269162203
29,coex_BRC,25,39,0.5636766623207299
30,coex_ATT,27,41,0.4582422705947491
31,coex_TNV,28,17,0.7486772486772488
32,coex_SPL,24,45,0.06425120772946857
33,coex_LCL,15,31,0.42301656495204876
34,coex_CLS,26,46,0.2896952259164536
35,coex_EMC,23,40,0.3630523877405558
36,coex_CLT,26,44,0.36071428571428577
37,coex_core,42,43,1.0485310403231058
38,coex_WBL,29,39,1.653492484526967
39,co-essential,5,12,0.24950980392156907
40,GOBP,29,22,1.0465441621294613
41,ppi,49,49,0.3265306122448981
42,reactome_copathway,10,20,0.8642857142857143
43,MP,31,14,1.3403350837709431
44,HP,39,14,1.1596171124473011
45,GI_net,12,24,-0.1812629399585921
46,gene_gene_on_CbG_name_mapped,5,13,0.44017094017093994
47,gene_gene_on_GcG_name_mapped,32,37,0.14336687230708978
48,GOMF,4,4,
