,Layer,Chapped_lip nodes,Ichthyosis nodes,sAB
0,coex_KDN,14,33,0.36356728378004965
1,coex_BST,19,28,0.8880979043353066
2,coex_OVR,47,44,0.4103210619168065
3,coex_LNG,8,31,0.7297648587971168
4,coex_ITI,11,30,0.7222468588322248
5,coex_VGN,50,48,0.20108843537414978
6,coex_HRV,0,11,
7,coex_MSG,48,48,0.22916666666666674
8,coex_ADV,4,24,2.7053571428571432
9,coex_EMS,44,35,0.49968765411803395
10,coex_SMU,2,31,-0.24999999999999978
11,coex_ARG,2,30,
12,coex_TST,11,33,0.8106060606060606
13,coex_PIT,6,30,0.5499999999999998
14,coex_LVR,7,26,0.35347985347985356
15,coex_THY,5,26,1.9586848635235725
16,coex_PNC,7,26,0.6318681318681323
17,coex_ATC,0,29,
18,coex_BRO,8,25,0.7996313364055299
19,coex_SKN,33,48,0.47339743589743577
20,coex_ADS,31,36,1.279095098449937
21,coex_GEJ,48,39,0.30813439434129086
22,coex_BRB,7,11,-0.19399350649350655
23,coex_UTR,6,27,0.7988425925925924
24,coex_STM,10,30,0.6961538461538461
25,coex_HRA,0,30,
26,coex_PRS,21,32,0.9483659029649596
27,coex_ATA,0,25,
28,coex_FIB,20,29,1.2923997185080929
29,coex_BRC,3,28,0.8744239631336406
30,coex_ATT,2,28,
31,coex_TNV,17,23,0.2922331403957461
32,coex_SPL,3,27,0.8629629629629632
33,coex_LCL,0,23,
34,coex_CLS,12,29,0.8767489869256062
35,coex_EMC,45,41,0.21027874564459914
36,coex_CLT,12,30,0.6630952380952384
37,coex_core,50,41,0.4901527740552132
38,coex_WBL,13,26,1.7067307692307692
39,co-essential,2,12,1.0357142857142856
40,GOBP,29,30,0.46466636811464435
41,ppi,48,50,0.010348639455782349
42,reactome_copathway,4,12,0.1499999999999999
43,MP,12,18,0.0694444444444442
44,HP,14,32,0.060947204968944124
45,GI_net,6,22,-0.709090909090909
46,gene_gene_on_CbG_name_mapped,2,5,-1.2428571428571429
47,gene_gene_on_GcG_name_mapped,33,26,-0.17799573308047867
48,GOMF,14,10,-0.8999999999999999
