,Layer,Infection_of_bone nodes,Sinusitis nodes,sAB
0,coex_KDN,30,41,-0.06726190476190474
1,coex_BST,19,21,1.505185377236194
2,coex_OVR,18,33,0.13965277777777763
3,coex_LNG,20,43,0.341414300943657
4,coex_ITI,20,39,0.05058318874108325
5,coex_VGN,16,31,0.17861943164362515
6,coex_HRV,17,28,0.10367402775063539
7,coex_MSG,24,40,0.22916666666666652
8,coex_ADV,34,31,0.7378663293274299
9,coex_EMS,27,27,0.6481481481481484
10,coex_SMU,12,32,0.20652023281596454
11,coex_ARG,11,28,0.022102897102897145
12,coex_TST,14,38,0.12045112781954881
13,coex_PIT,19,33,0.11444976076555013
14,coex_LVR,27,35,0.24550264550264544
15,coex_THY,9,37,0.11497747747747722
16,coex_PNC,30,34,0.35914710711870956
17,coex_ATC,16,38,0.2939507904130545
18,coex_BRO,13,36,0.30590441304727034
19,coex_SKN,15,33,0.4138950480413892
20,coex_ADS,24,37,1.2868773946360155
21,coex_GEJ,20,30,0.486274954627949
22,coex_BRB,11,28,-0.0015873015873015817
23,coex_UTR,6,23,0.2035714285714283
24,coex_STM,22,37,0.14829764829764835
25,coex_HRA,18,23,0.7966243315508021
26,coex_PRS,12,32,0.5249999999999999
27,coex_ATA,28,35,0.21851851851851833
28,coex_FIB,6,20,0.3935897435897435
29,coex_BRC,8,25,-0.11571428571428566
30,coex_ATT,26,35,0.46773809523809495
31,coex_TNV,31,22,0.7020957013089193
32,coex_SPL,25,37,0.46792792792792803
33,coex_LCL,7,21,0.22619047619047628
34,coex_CLS,17,29,0.37166847492806276
35,coex_EMC,15,36,0.19365079365079385
36,coex_CLT,16,35,0.6045473508552357
37,coex_core,41,40,0.20020491803278673
38,coex_WBL,24,37,0.305761704327278
39,co-essential,7,4,-0.425324675324676
40,GOBP,23,18,1.1375000000000002
41,ppi,47,49,0.3530992184107684
42,reactome_copathway,16,19,0.5408293460925038
43,MP,13,17,0.23300229182582122
44,HP,12,28,0.45238095238095233
45,GI_net,15,19,0.16896929824561369
46,gene_gene_on_CbG_name_mapped,14,11,-0.023376623376623273
47,gene_gene_on_GcG_name_mapped,29,28,3.240860772613097e-05
48,GOMF,6,1,
