,Layer,Abetalipoproteinaemia nodes,Absence_seizure nodes,sAB
0,coex_KDN,40,30,0.18214285714285716
1,coex_BST,31,20,0.5019765970904491
2,coex_OVR,36,19,0.004824561403508731
3,coex_LNG,37,17,0.5285285285285282
4,coex_ITI,40,26,0.024941724941725196
5,coex_VGN,33,20,0.0064179531160664105
6,coex_HRV,24,13,0.5502450980392157
7,coex_MSG,40,22,0.1891495601173021
8,coex_ADV,28,17,0.2200513538748834
9,coex_EMS,30,19,0.2638202649480843
10,coex_SMU,30,15,0.23333333333333295
11,coex_ARG,28,25,0.5542048517520217
12,coex_TST,36,30,0.2368055555555555
13,coex_PIT,32,28,0.03318452380952386
14,coex_LVR,35,22,0.06363636363636371
15,coex_THY,31,16,0.3998207885304659
16,coex_PNC,29,19,0.5224591651542649
17,coex_ATC,36,17,0.37350474781107446
18,coex_BRO,36,43,0.11997105288980481
19,coex_SKN,35,19,0.19315663372267133
20,coex_ADS,33,16,1.1765035559678418
21,coex_GEJ,32,22,0.2495399919498591
22,coex_BRB,27,35,0.2951356886840757
23,coex_UTR,21,16,-0.05873015873015852
24,coex_STM,37,28,0.24469854469854457
25,coex_HRA,32,20,0.460576923076923
26,coex_PRS,33,20,-0.04569754145225824
27,coex_ATA,30,18,0.7922705314009666
28,coex_FIB,26,13,-0.025641025641025772
29,coex_BRC,34,31,0.1583783389286233
30,coex_ATT,32,19,0.711046589688507
31,coex_TNV,21,16,0.8729166666666663
32,coex_SPL,36,22,0.27072448624172774
33,coex_LCL,24,12,0.5917644183773216
34,coex_CLS,32,21,-0.013942307692307754
35,coex_EMC,30,18,0.05277777777777759
36,coex_CLT,34,21,0.1235323324960571
37,coex_core,39,23,0.3146550052360082
38,coex_WBL,34,17,0.5441176470588236
39,co-essential,6,3,1.6666666666666665
40,GOBP,24,30,1.7279693486590042
41,ppi,50,50,0.32000000000000006
42,reactome_copathway,12,12,1.922979797979798
43,MP,14,19,1.540271132376395
44,HP,27,16,0.4676195090439277
45,GI_net,13,12,0.1810200668896318
46,gene_gene_on_CbG_name_mapped,11,27,0.37993974836080113
47,gene_gene_on_GcG_name_mapped,30,33,0.11796536796536783
48,GOMF,7,5,
