,Layer,Atonic_seizure nodes,Absence_seizure nodes,sAB
0,coex_KDN,38,30,-0.22934651068979428
1,coex_BST,27,20,-0.012777777777777777
2,coex_OVR,22,19,-0.4963659147869679
3,coex_LNG,24,17,0.16107723577235733
4,coex_ITI,36,26,-0.25062034739454075
5,coex_VGN,30,20,-0.2483333333333333
6,coex_HRV,20,13,0.25
7,coex_MSG,33,22,-0.11969696969696964
8,coex_ADV,26,17,0.18806722689075617
9,coex_EMS,21,19,-0.17750626566416017
10,coex_SMU,25,15,-0.4685736079328755
11,coex_ARG,28,25,0.07340970350404308
12,coex_TST,35,30,-0.2564102564102564
13,coex_PIT,38,28,-0.2275764775764777
14,coex_LVR,28,22,-0.1198051948051948
15,coex_THY,24,16,0.08166109253065779
16,coex_PNC,25,19,0.19081339712918677
17,coex_ATC,29,17,0.37653232207425713
18,coex_BRO,38,43,-0.2696858425132598
19,coex_SKN,26,19,-0.1953601953601951
20,coex_ADS,27,16,0.3741813459801264
21,coex_GEJ,29,22,-0.15981934731934766
22,coex_BRB,31,35,-0.29447004608294947
23,coex_UTR,14,16,-0.17011494252873538
24,coex_STM,31,28,-0.0686167304537999
25,coex_HRA,29,20,-0.026686656671664144
26,coex_PRS,24,20,-0.3477272727272731
27,coex_ATA,25,18,-0.1686507936507935
28,coex_FIB,20,13,-0.22068764568764543
29,coex_BRC,36,31,-0.026607553629700798
30,coex_ATT,23,19,0.07621897553247647
31,coex_TNV,22,16,0.35953282828282784
32,coex_SPL,24,22,-0.011363636363636687
33,coex_LCL,21,12,-0.10389610389610371
34,coex_CLS,30,21,0.35499999999999976
35,coex_EMC,21,18,-0.2625730994152047
36,coex_CLT,34,21,-0.15763673890608865
37,coex_core,34,23,0.3731518079344167
38,coex_WBL,28,17,-0.07684407096171775
39,co-essential,9,3,1.3068181818181817
40,GOBP,17,30,-0.3234195402298847
41,ppi,50,50,0.010000000000000009
42,reactome_copathway,18,12,1.241111111111111
43,MP,12,19,0.23940533151059462
44,HP,25,16,-0.018384146341463348
45,GI_net,18,12,-0.10912698412698374
46,gene_gene_on_CbG_name_mapped,22,27,-0.030371744657458954
47,gene_gene_on_GcG_name_mapped,35,33,-0.14071810542398788
48,GOMF,7,5,
