,Layer,Low_back_pain nodes,Alcohol_dependence nodes,sAB
0,coex_KDN,38,27,0.37912730544309525
1,coex_BST,24,14,0.5211466165413534
2,coex_OVR,27,22,0.15748834498834485
3,coex_LNG,35,25,0.8422152560083593
4,coex_ITI,32,31,0.24139144905273913
5,coex_VGN,29,31,0.07721054583065001
6,coex_HRV,27,12,0.44838056680161964
7,coex_MSG,35,24,0.35238095238095246
8,coex_ADV,32,19,0.6678918879379707
9,coex_EMS,26,22,0.5429778554778553
10,coex_SMU,26,14,0.17490842490842473
11,coex_ARG,18,22,0.7545454545454544
12,coex_TST,28,31,0.08325197219401703
13,coex_PIT,31,23,0.24253285543608127
14,coex_LVR,33,21,0.6464646464646464
15,coex_THY,22,20,0.539194139194139
16,coex_PNC,25,20,0.3655303030303032
17,coex_ATC,26,17,0.31695254130274675
18,coex_BRO,26,29,0.27178683385579916
19,coex_SKN,23,21,0.44455350850699693
20,coex_ADS,22,15,0.6807534807534807
21,coex_GEJ,33,24,0.7440426421404687
22,coex_BRB,19,23,0.676258581235698
23,coex_UTR,18,18,0.6870214752567692
24,coex_STM,29,28,0.2829163425805892
25,coex_HRA,29,15,0.8325091575091572
26,coex_PRS,29,16,0.48239817373543215
27,coex_ATA,27,14,0.7827635327635325
28,coex_FIB,26,15,0.4596622889305819
29,coex_BRC,21,25,0.12434782608695683
30,coex_ATT,21,20,0.2954123112659701
31,coex_TNV,26,18,0.6121031746031744
32,coex_SPL,24,22,0.06480566534914356
33,coex_LCL,18,8,0.7430555555555554
34,coex_CLS,30,27,0.9889587700908455
35,coex_EMC,27,20,0.07275413711583933
36,coex_CLT,29,24,0.3778735632183907
37,coex_core,37,27,0.4677676372591628
38,coex_WBL,31,20,0.45333333333333314
39,co-essential,8,5,-0.125
40,GOBP,16,24,1.9622564935064934
41,ppi,49,49,0.30612244897959195
42,reactome_copathway,22,16,1.1306547619047618
43,MP,13,17,1.8787878787878793
44,HP,19,9,-0.06035923141186306
45,GI_net,22,14,0.6684253246753249
46,gene_gene_on_CbG_name_mapped,12,25,0.24292792792792794
47,gene_gene_on_GcG_name_mapped,28,27,0.07408609908609898
48,GOMF,3,12,
