,Layer,Hyperkeratosis nodes,Ichthyosis_vulgaris nodes,sAB
0,coex_KDN,43,33,-0.034437984496123786
1,coex_BST,36,23,0.10728322279538216
2,coex_OVR,42,35,-0.04545454545454519
3,coex_LNG,41,30,0.18435158103511062
4,coex_ITI,42,24,0.17613636363636376
5,coex_VGN,47,41,0.15488040760484978
6,coex_HRV,28,22,0.669299376746185
7,coex_MSG,48,44,0.23414855072463792
8,coex_ADV,32,17,0.2440159574468086
9,coex_EMS,38,30,0.2996012759170652
10,coex_SMU,39,29,0.276629072681704
11,coex_ARG,36,28,0.4126068376068377
12,coex_TST,41,34,-0.012480100626953039
13,coex_PIT,42,29,-0.1385588718245918
14,coex_LVR,39,22,0.25499636975046824
15,coex_THY,38,26,0.548805346700084
16,coex_PNC,38,22,0.15031897926634796
17,coex_ATC,37,18,0.18374283374283396
18,coex_BRO,39,27,0.06870192307692324
19,coex_SKN,48,42,0.020238095238095388
20,coex_ADS,36,38,0.26325596600196155
21,coex_GEJ,40,35,0.30990945674044257
22,coex_BRB,22,20,0.2505411255411252
23,coex_UTR,32,20,0.038942307692307665
24,coex_STM,41,28,0.3950790284300356
25,coex_HRA,37,22,0.010171573730895833
26,coex_PRS,41,26,9.380863039409881e-05
27,coex_ATA,35,24,0.8356203007518794
28,coex_FIB,31,20,0.112571048940725
29,coex_BRC,37,30,0.3449970346522071
30,coex_ATT,39,25,0.2818459191456908
31,coex_TNV,28,30,-0.032717569786535616
32,coex_SPL,35,23,0.12081816234739762
33,coex_LCL,31,20,0.6838393421884883
34,coex_CLS,42,23,0.31639784946236604
35,coex_EMC,45,32,0.1263629503867194
36,coex_CLT,37,23,0.10248726987857415
37,coex_core,47,44,0.3518476204646417
38,coex_WBL,37,26,0.21949146949146958
39,co-essential,9,8,-0.5
40,GOBP,24,23,0.6034420289855076
41,ppi,48,49,0.04073962059050418
42,reactome_copathway,18,10,0.4814814814814814
43,MP,13,18,0.20436507936507953
44,HP,32,23,0.013611660079051457
45,GI_net,23,14,0.05869565217391304
46,gene_gene_on_CbG_name_mapped,9,5,-0.02698412698412711
47,gene_gene_on_GcG_name_mapped,26,35,-0.16385335975499915
48,GOMF,5,6,
