,Layer,Pulmonary_fibrosis nodes,Hypersensitivity_pneumonitis nodes,sAB
0,coex_KDN,42,33,-0.08043758043758031
1,coex_BST,23,20,0.0608695652173914
2,coex_OVR,30,23,0.13689309191558086
3,coex_LNG,36,24,-0.13937535220425712
4,coex_ITI,35,26,-0.20322464420825082
5,coex_VGN,29,20,-0.14544334975369466
6,coex_HRV,32,21,-0.16762955182072825
7,coex_MSG,39,29,-0.028150517501430494
8,coex_ADV,31,28,-0.37903225806451646
9,coex_EMS,28,22,0.18047112462006032
10,coex_SMU,25,15,-0.2137820512820514
11,coex_ARG,21,16,0.030164092664092923
12,coex_TST,34,28,-0.22779611099283215
13,coex_PIT,33,25,-0.07158991228070177
14,coex_LVR,35,26,-0.06073680417942717
15,coex_THY,28,20,0.16547619047619078
16,coex_PNC,29,25,-0.07781663413576223
17,coex_ATC,30,20,-0.07391304347826066
18,coex_BRO,29,24,-0.20074278898286724
19,coex_SKN,28,23,-0.024508856682769586
20,coex_ADS,29,21,0.09274516077427641
21,coex_GEJ,34,24,-0.16447368421052655
22,coex_BRB,23,17,-0.3297314578005117
23,coex_UTR,17,17,-0.3235294117647056
24,coex_STM,34,28,-0.03296963946869069
25,coex_HRA,31,23,0.3110637609235085
26,coex_PRS,30,26,0.13549019607843116
27,coex_ATA,28,24,0.039824263038549024
28,coex_FIB,26,24,-0.13250000000000006
29,coex_BRC,27,20,-0.170449172576832
30,coex_ATT,26,22,0.09235683016170837
31,coex_TNV,26,16,-0.2763832658569503
32,coex_SPL,23,19,0.2772180982679391
33,coex_LCL,17,16,0.13521505376344045
34,coex_CLS,29,25,0.11827586206896523
35,coex_EMC,33,23,-0.10064183501683521
36,coex_CLT,34,23,0.22059100319969893
37,coex_core,37,29,-0.023831713486886175
38,coex_WBL,27,27,-0.07445035746922501
39,co-essential,14,7,0.07142857142857162
40,GOBP,9,19,0.1232142857142855
41,ppi,50,49,-0.1926984126984126
42,reactome_copathway,27,18,-0.07846153846153836
43,MP,13,20,0.638585099111415
44,HP,20,15,0.34404761904761916
45,GI_net,21,16,-0.41491228070175423
46,gene_gene_on_CbG_name_mapped,14,14,-0.3571428571428572
47,gene_gene_on_GcG_name_mapped,31,26,-0.2506747638326583
48,GOMF,3,4,
