,Layer,Diarrhea nodes,Osteomyelitis nodes,sAB
0,coex_KDN,36,42,0.12927350427350448
1,coex_BST,19,27,-0.06703700216552111
2,coex_OVR,24,29,-0.0184668695064234
3,coex_LNG,30,41,0.2879963427377219
4,coex_ITI,37,39,0.1672228909071014
5,coex_VGN,22,31,0.02797893350888736
6,coex_HRV,21,26,0.5652380952380951
7,coex_MSG,35,39,0.1469854469854468
8,coex_ADV,26,30,0.3286889211417514
9,coex_EMS,23,28,0.016334794787480345
10,coex_SMU,19,26,0.2930274403958615
11,coex_ARG,18,32,0.10560075093867338
12,coex_TST,28,31,-0.14189057252206494
13,coex_PIT,31,29,0.1399703374119392
14,coex_LVR,28,33,0.01473214285714275
15,coex_THY,20,33,0.5317467124070898
16,coex_PNC,28,28,0.021825396825396748
17,coex_ATC,24,37,0.12897180693790888
18,coex_BRO,26,31,0.11181489704409886
19,coex_SKN,22,29,0.2044805194805197
20,coex_ADS,20,31,0.10363610639501974
21,coex_GEJ,28,31,0.28809523809523796
22,coex_BRB,22,26,0.4226398601398602
23,coex_UTR,15,24,0.6141539619800489
24,coex_STM,31,31,0.0
25,coex_HRA,22,26,0.27252747252747245
26,coex_PRS,24,24,0.13913043478260834
27,coex_ATA,20,30,0.20000000000000018
28,coex_FIB,19,18,0.449019607843137
29,coex_BRC,23,24,0.25662966389145847
30,coex_ATT,20,27,0.11714039621016381
31,coex_TNV,15,23,0.3645308924485122
32,coex_SPL,24,36,0.33055555555555527
33,coex_LCL,14,22,0.13484848484848522
34,coex_CLS,25,37,0.32828828828828804
35,coex_EMC,27,33,0.08251922473320805
36,coex_CLT,30,38,0.39068044532329305
37,coex_core,32,42,0.30272431553266466
38,coex_WBL,26,39,0.11446115288220549
39,co-essential,7,5,-0.3045454545454547
40,GOBP,21,25,0.9107655502392342
41,ppi,49,50,0.1486992372706657
42,reactome_copathway,18,18,0.6349206349206353
43,MP,19,12,0.7027777777777775
44,HP,23,36,0.439930811430443
45,GI_net,13,18,0.1531568789633302
46,gene_gene_on_CbG_name_mapped,7,14,-0.14285714285714302
47,gene_gene_on_GcG_name_mapped,26,28,-0.05825193325193312
48,GOMF,8,8,
