,Layer,Infection_of_bone nodes,Gingivostomatitis nodes,sAB
0,coex_KDN,30,28,-0.045771756978653544
1,coex_BST,19,8,0.9555137844611528
2,coex_OVR,18,13,-0.055348773090708736
3,coex_LNG,20,39,0.2937084089534183
4,coex_ITI,20,20,-0.135846372688478
5,coex_VGN,16,15,-0.08910714285714283
6,coex_HRV,17,21,0.6415302963290577
7,coex_MSG,24,36,0.026388888888888795
8,coex_ADV,34,31,0.2947030562396544
9,coex_EMS,27,11,0.4823598301859171
10,coex_SMU,12,14,0.0874125874125875
11,coex_ARG,11,11,-0.09090909090909105
12,coex_TST,14,19,0.12060392917778318
13,coex_PIT,19,17,0.08388157894736858
14,coex_LVR,27,34,0.3200560734311939
15,coex_THY,9,15,0.33170289855072443
16,coex_PNC,30,20,0.2445812807881773
17,coex_ATC,16,29,0.016088612670408953
18,coex_BRO,13,21,0.10105580693815996
19,coex_SKN,15,19,-0.04035087719298258
20,coex_ADS,24,22,0.9474637681159424
21,coex_GEJ,20,32,0.7021091331269349
22,coex_BRB,11,20,-0.15331069609507608
23,coex_UTR,6,7,0.5558441558441554
24,coex_STM,22,31,0.17850439882697944
25,coex_HRA,18,21,0.8302737691001698
26,coex_PRS,12,9,0.03725490196078418
27,coex_ATA,28,34,0.18440087145969497
28,coex_FIB,6,6,0.5
29,coex_BRC,8,13,-0.39340659340659334
30,coex_ATT,26,18,0.20285714285714285
31,coex_TNV,31,13,0.846774193548387
32,coex_SPL,25,37,0.22378378378378394
33,coex_LCL,7,13,1.1739926739926743
34,coex_CLS,17,12,0.23389909323413205
35,coex_EMC,15,31,0.17829457364341073
36,coex_CLT,16,21,0.24629629629629624
37,coex_core,41,36,0.3678571428571431
38,coex_WBL,24,35,0.3693796484110885
39,co-essential,7,1,
40,GOBP,23,18,0.7481060606060606
41,ppi,47,47,0.3191489361702129
42,reactome_copathway,16,20,1.070238095238095
43,MP,13,14,0.699220779220779
44,HP,12,14,0.37133699633699635
45,GI_net,15,12,0.23560606060606037
46,gene_gene_on_CbG_name_mapped,14,18,0.45932539682539675
47,gene_gene_on_GcG_name_mapped,29,25,0.1228352490421456
48,GOMF,6,9,0.0
