,Layer,Seasonal_allergy nodes,Cough nodes,sAB
0,coex_KDN,35,36,0.5924100156494523
1,coex_BST,24,27,0.9248366013071898
2,coex_OVR,25,28,0.8209943977591037
3,coex_LNG,24,40,1.2583333333333333
4,coex_ITI,29,31,0.3898405635891731
5,coex_VGN,20,29,0.5400598170302604
6,coex_HRV,29,17,1.5470880112269447
7,coex_MSG,34,34,0.22058823529411775
8,coex_ADV,22,24,0.7406126482213438
9,coex_EMS,19,30,0.4084128148691608
10,coex_SMU,24,24,0.12854609929077965
11,coex_ARG,20,27,0.5666666666666664
12,coex_TST,27,38,0.240343379817064
13,coex_PIT,28,36,1.0069764464925754
14,coex_LVR,34,31,0.7207671011291878
15,coex_THY,26,27,1.2592592592592595
16,coex_PNC,25,28,0.7610644257703081
17,coex_ATC,27,31,0.4781444403246402
18,coex_BRO,31,36,0.7126262626262627
19,coex_SKN,23,29,0.4089355322338828
20,coex_ADS,29,24,0.874593363695511
21,coex_GEJ,25,28,0.8178571428571431
22,coex_BRB,26,27,1.3963473633284957
23,coex_UTR,15,25,0.15333333333333332
24,coex_STM,28,32,0.7049107142857145
25,coex_HRA,24,24,0.8333333333333335
26,coex_PRS,27,30,0.5279727095516566
27,coex_ATA,29,24,0.505723443223443
28,coex_FIB,14,29,0.4887660699267091
29,coex_BRC,25,24,1.2432823129251702
30,coex_ATT,23,26,0.47129953379953404
31,coex_TNV,30,18,0.7545638945233266
32,coex_SPL,23,32,0.12755681818181808
33,coex_LCL,14,24,0.8581349206349205
34,coex_CLS,24,31,0.8366318632798295
35,coex_EMC,28,27,0.7683742183742184
36,coex_CLT,27,35,0.6403140467656598
37,coex_core,34,34,0.9140859871764175
38,coex_WBL,27,34,0.3252525252525251
39,co-essential,6,8,0.4375
40,GOBP,14,22,2.2065934065934067
41,ppi,49,47,0.05026957591547254
42,reactome_copathway,15,8,0.5
43,MP,15,18,-0.10094086021505344
44,HP,10,28,0.3409774436090225
45,GI_net,15,15,0.2333333333333334
46,gene_gene_on_CbG_name_mapped,12,9,0.24801587301587302
47,gene_gene_on_GcG_name_mapped,36,26,0.004307968017645214
48,GOMF,5,7,
