,Layer,Orchitis nodes,Dystonic_disorder nodes,sAB
0,coex_KDN,37,45,0.39856441807661325
1,coex_BST,19,38,0.2127606752730884
2,coex_OVR,23,41,0.21747415164369022
3,coex_LNG,35,40,0.3742857142857141
4,coex_ITI,32,47,0.4786618094785564
5,coex_VGN,25,46,0.44818840579710173
6,coex_HRV,24,20,0.9079545454545452
7,coex_MSG,33,42,0.2124242424242424
8,coex_ADV,27,38,0.6399578695843551
9,coex_EMS,22,42,0.4647432513286174
10,coex_SMU,22,41,0.4588128673494529
11,coex_ARG,20,45,0.444017094017094
12,coex_TST,32,49,0.35089521919879063
13,coex_PIT,30,41,0.3697011336310545
14,coex_LVR,28,41,0.23562717770034847
15,coex_THY,27,33,1.3791245791245794
16,coex_PNC,26,42,0.48310023310023276
17,coex_ATC,31,43,0.676902333691531
18,coex_BRO,32,43,0.6517280361757107
19,coex_SKN,26,42,0.5976082740788624
20,coex_ADS,27,24,1.1377551020408165
21,coex_GEJ,22,44,0.45957918050941293
22,coex_BRB,23,19,0.2695004123954281
23,coex_UTR,15,36,0.1972222222222224
24,coex_STM,30,45,0.47444444444444467
25,coex_HRA,22,43,0.6754675557001142
26,coex_PRS,23,39,0.4842752875539762
27,coex_ATA,28,34,1.1199169682776242
28,coex_FIB,22,38,0.750239234449761
29,coex_BRC,17,42,0.6145373403598731
30,coex_ATT,25,40,1.0884615384615386
31,coex_TNV,24,11,0.7518019065333643
32,coex_SPL,30,41,0.4017850830682219
33,coex_LCL,14,38,0.3294953116381687
34,coex_CLS,25,45,0.4485714285714284
35,coex_EMC,32,38,0.4510932662538698
36,coex_CLT,32,47,0.5967290394827152
37,coex_core,36,46,0.7183044656533524
38,coex_WBL,32,41,0.28654360173738747
39,co-essential,2,14,-1.0769230769230766
40,GOBP,13,18,2.0121212121212126
41,ppi,49,50,0.3949165120593692
42,reactome_copathway,24,12,0.4492845117845117
43,MP,16,16,1.4249999999999998
44,HP,24,33,1.2217902711323765
45,GI_net,20,25,0.2164634146341462
46,gene_gene_on_CbG_name_mapped,8,11,0.1561004784688993
47,gene_gene_on_GcG_name_mapped,27,32,-0.09185695229127422
48,GOMF,5,6,
