,Layer,Oligomenorrhea nodes,Autoimmune_disease nodes,sAB
0,coex_KDN,34,39,0.335569949792351
1,coex_BST,28,20,0.40654761904761916
2,coex_OVR,33,22,0.21783876500857646
3,coex_LNG,25,33,0.8199283154121866
4,coex_ITI,32,33,0.6455565268065266
5,coex_VGN,28,24,0.09750000000000014
6,coex_HRV,13,30,0.3131186642814554
7,coex_MSG,29,30,0.5924995129553869
8,coex_ADV,27,22,1.040142627099149
9,coex_EMS,21,19,0.5385338345864659
10,coex_SMU,24,28,0.4623717948717947
11,coex_ARG,32,17,0.25956489122280546
12,coex_TST,32,28,0.3782738095238094
13,coex_PIT,32,30,0.4940860215053764
14,coex_LVR,29,32,0.033633474576271194
15,coex_THY,26,32,0.9366477272727272
16,coex_PNC,24,20,0.6325757575757578
17,coex_ATC,30,25,0.39075471698113207
18,coex_BRO,27,28,0.5041366041366042
19,coex_SKN,30,27,0.4007122507122509
20,coex_ADS,23,27,1.3067632850241542
21,coex_GEJ,32,25,0.9217514822134385
22,coex_BRB,19,25,0.7027067669172933
23,coex_UTR,24,15,0.2733974358974356
24,coex_STM,27,31,0.4561652865323613
25,coex_HRA,33,26,0.5759358288770051
26,coex_PRS,20,23,0.43614718614718617
27,coex_ATA,31,25,0.9003225806451614
28,coex_FIB,22,18,0.3405320170026054
29,coex_BRC,29,28,0.3270939403014874
30,coex_ATT,28,26,0.5782312925170068
31,coex_TNV,22,21,0.8168498168498166
32,coex_SPL,24,27,0.4947435897435897
33,coex_LCL,18,24,0.5201023391812865
34,coex_CLS,25,26,0.5352564102564101
35,coex_EMC,26,25,0.17166666666666686
36,coex_CLT,27,29,0.44551282051282026
37,coex_core,36,37,0.47385620915032667
38,coex_WBL,28,36,0.26356362217017937
39,co-essential,9,9,0.9444444444444446
40,GOBP,17,13,1.9010576923076927
41,ppi,45,50,0.1684795321637429
42,reactome_copathway,17,20,0.6201388888888888
43,MP,12,21,1.7850120992135512
44,HP,37,21,0.888985044157458
45,GI_net,17,17,-0.28296568627451
46,gene_gene_on_CbG_name_mapped,6,12,0.2500000000000002
47,gene_gene_on_GcG_name_mapped,34,30,-0.0059436274509803155
48,GOMF,6,6,
