,Layer,Renal_tubular_acidosis nodes,Movement_disorder nodes,sAB
0,coex_KDN,41,34,0.30321939586645463
1,coex_BST,29,25,0.3140848806366048
2,coex_OVR,31,22,0.14437065148640116
3,coex_LNG,33,24,0.08653846153846168
4,coex_ITI,30,33,0.2582251082251079
5,coex_VGN,28,27,0.07139249639249634
6,coex_HRV,18,20,1.3826388888888888
7,coex_MSG,34,30,0.09344362745098045
8,coex_ADV,29,23,0.49778302338192604
9,coex_EMS,28,26,0.4485701230984249
10,coex_SMU,28,24,0.3678754110339786
11,coex_ARG,33,32,0.453125
12,coex_TST,33,39,0.08624708624708632
13,coex_PIT,33,35,0.18658008658008662
14,coex_LVR,29,29,0.42179802955665036
15,coex_THY,26,26,1.0153846153846153
16,coex_PNC,26,23,0.3782335676745614
17,coex_ATC,27,21,0.12070105820105814
18,coex_BRO,28,41,0.4312431743720424
19,coex_SKN,30,25,0.29848484848484835
20,coex_ADS,19,21,0.5800853485064015
21,coex_GEJ,31,32,0.3954599761051374
22,coex_BRB,15,36,0.8151960784313728
23,coex_UTR,24,20,0.2416666666666667
24,coex_STM,29,31,0.5808305524657027
25,coex_HRA,31,26,0.37243819501884046
26,coex_PRS,28,22,-0.033701298701298565
27,coex_ATA,29,26,0.6446232339089479
28,coex_FIB,26,24,0.033653846153846034
29,coex_BRC,30,39,0.5431419457735249
30,coex_ATT,29,23,0.09035866682043636
31,coex_TNV,11,19,0.649569377990431
32,coex_SPL,32,22,0.0316150044923631
33,coex_LCL,25,22,0.2819499341238474
34,coex_CLS,28,31,0.5418308702791463
35,coex_EMC,29,24,0.2655677655677655
36,coex_CLT,30,29,0.35396454315215253
37,coex_core,38,34,0.8102167182662539
38,coex_WBL,36,31,0.2183019713261649
39,co-essential,18,7,0.8315873015873012
40,GOBP,37,18,1.722638888888889
41,ppi,49,50,0.2626757369614512
42,reactome_copathway,15,11,1.066822066822067
43,MP,21,7,2.3051948051948052
44,HP,36,20,0.6174603174603173
45,GI_net,18,16,-0.030637254901960898
46,gene_gene_on_CbG_name_mapped,17,14,0.0902683654106804
47,gene_gene_on_GcG_name_mapped,31,35,0.001717637201508193
48,GOMF,13,4,
