,Layer,Intracranial_swelling nodes,Conjunctivitis nodes,sAB
0,coex_KDN,36,39,0.27564102564102577
1,coex_BST,18,30,1.1230769230769229
2,coex_OVR,29,37,0.4559738309738308
3,coex_LNG,25,39,0.29726250525430853
4,coex_ITI,34,39,0.5806731544040169
5,coex_VGN,29,35,0.6443826473859846
6,coex_HRV,31,24,0.09823687539531933
7,coex_MSG,33,41,0.17169053754419594
8,coex_ADV,19,30,0.5894176931690929
9,coex_EMS,20,34,0.4589869281045753
10,coex_SMU,20,28,0.49464285714285694
11,coex_ARG,23,33,0.42784208545078095
12,coex_TST,30,33,0.13513708513708522
13,coex_PIT,33,35,0.23421186656480786
14,coex_LVR,34,35,0.422463768115942
15,coex_THY,22,35,1.2227272727272727
16,coex_PNC,25,33,0.6483385579937304
17,coex_ATC,16,35,0.40761904761904755
18,coex_BRO,35,33,0.2597147950089125
19,coex_SKN,28,35,0.45175079158130016
20,coex_ADS,25,33,0.6332079414838039
21,coex_GEJ,20,36,0.48134920634920597
22,coex_BRB,33,23,0.11723602484472018
23,coex_UTR,17,26,0.703525641025641
24,coex_STM,35,32,0.6677807486631018
25,coex_HRA,27,30,0.645117845117845
26,coex_PRS,23,35,0.44285714285714306
27,coex_ATA,22,35,0.48108908635224434
28,coex_FIB,16,28,0.5952380952380953
29,coex_BRC,32,26,0.23176392572944282
30,coex_ATT,24,35,0.4049811843929487
31,coex_TNV,24,24,0.3125
32,coex_SPL,23,37,0.5622058884770749
33,coex_LCL,15,27,0.8732193732193734
34,coex_CLS,32,34,0.4622074636306137
35,coex_EMC,27,36,0.32539682539682535
36,coex_CLT,30,37,0.27598265713019776
37,coex_core,36,40,0.5684684684684684
38,coex_WBL,27,37,0.9153225806451615
39,co-essential,5,8,0.32019230769230766
40,GOBP,14,20,1.4849650349650352
41,ppi,50,49,0.2030921459492887
42,reactome_copathway,21,25,0.3179487179487177
43,MP,10,20,0.23888888888888893
44,HP,20,33,0.4096340766152089
45,GI_net,13,24,-0.26927655677655693
46,gene_gene_on_CbG_name_mapped,23,14,0.22473560517038793
47,gene_gene_on_GcG_name_mapped,37,34,-0.025431603932018154
48,GOMF,3,4,
