,Layer,Adrenogenital_syndrome nodes,Autoimmune_disease nodes,sAB
0,coex_KDN,35,39,0.4265815265815265
1,coex_BST,25,20,0.8811111111111112
2,coex_OVR,31,22,0.42950146627566
3,coex_LNG,29,33,0.46996662958843194
4,coex_ITI,31,33,0.3402370478983383
5,coex_VGN,27,24,0.13942307692307687
6,coex_HRV,21,30,0.5383333333333331
7,coex_MSG,33,30,0.3388167388167389
8,coex_ADV,23,22,0.962591756070017
9,coex_EMS,24,19,0.03541921664626679
10,coex_SMU,25,28,0.5509502262443438
11,coex_ARG,31,17,0.3734767025089605
12,coex_TST,36,28,0.42584325396825395
13,coex_PIT,31,30,0.7745009074410163
14,coex_LVR,33,32,0.5292433261183258
15,coex_THY,26,32,1.0022321428571428
16,coex_PNC,29,20,0.8163265306122449
17,coex_ATC,30,25,0.26088050314465416
18,coex_BRO,30,28,0.504351395730706
19,coex_SKN,30,27,0.5544159544159546
20,coex_ADS,27,27,1.1666666666666665
21,coex_GEJ,25,25,0.2627695560253698
22,coex_BRB,20,25,0.6316279069767443
23,coex_UTR,20,15,0.38400412796697614
24,coex_STM,32,31,0.6846278161802355
25,coex_HRA,30,26,0.6764029749830966
26,coex_PRS,27,23,0.5200474129045558
27,coex_ATA,36,25,0.21959595959596
28,coex_FIB,24,18,0.24817670970827388
29,coex_BRC,30,28,0.5668350168350167
30,coex_ATT,29,26,0.3429487179487176
31,coex_TNV,22,21,0.46010296010296026
32,coex_SPL,25,27,0.3879788838612368
33,coex_LCL,22,24,0.7454268292682928
34,coex_CLS,26,26,0.8338461538461539
35,coex_EMC,31,25,0.17628205128205154
36,coex_CLT,31,29,0.6075041006014215
37,coex_core,33,37,0.8026418026418023
38,coex_WBL,30,36,0.6027777777777779
39,co-essential,7,9,1.1111111111111112
40,GOBP,35,13,1.8662207357859533
41,ppi,48,50,0.24465136054421754
42,reactome_copathway,23,20,0.7505050505050503
43,MP,12,21,0.9473684210526319
44,HP,32,21,0.6382945867026055
45,GI_net,19,17,0.05288957688338458
46,gene_gene_on_CbG_name_mapped,18,12,0.27222222222222214
47,gene_gene_on_GcG_name_mapped,30,30,0.0687122540424705
48,GOMF,9,6,
