,Layer,Allergic_rhinitis nodes,Cough nodes,sAB
0,coex_KDN,35,36,0.18258636788048532
1,coex_BST,20,27,0.30508274231678456
2,coex_OVR,23,28,0.5298830447997884
3,coex_LNG,32,40,0.9041666666666666
4,coex_ITI,25,31,0.26106968959220933
5,coex_VGN,22,29,0.31741348577048356
6,coex_HRV,22,17,0.8039772727272725
7,coex_MSG,32,34,0.32450423351158664
8,coex_ADV,23,24,0.3440101757631826
9,coex_EMS,24,30,0.7129800484373199
10,coex_SMU,21,24,0.16287878787878762
11,coex_ARG,17,27,0.08704693998811663
12,coex_TST,27,38,0.0953291348028189
13,coex_PIT,24,36,0.4805555555555556
14,coex_LVR,23,31,0.2566339410939693
15,coex_THY,22,27,1.1060501495284107
16,coex_PNC,22,28,0.29274891774891776
17,coex_ATC,27,31,0.17669397508107165
18,coex_BRO,25,36,0.29340619307832405
19,coex_SKN,28,29,0.3390804597701149
20,coex_ADS,28,24,1.3049450549450547
21,coex_GEJ,28,28,1.0892857142857144
22,coex_BRB,17,27,0.680035650623886
23,coex_UTR,20,25,0.5699999999999998
24,coex_STM,25,32,0.265625
25,coex_HRA,21,24,0.5027777777777778
26,coex_PRS,24,30,0.09903846153846185
27,coex_ATA,24,24,0.4773550724637676
28,coex_FIB,13,29,0.48863205759757466
29,coex_BRC,20,24,0.5753787878787882
30,coex_ATT,26,26,0.9488084464555055
31,coex_TNV,21,18,1.0842436974789917
32,coex_SPL,22,32,0.290351430976431
33,coex_LCL,9,24,0.0006313131313131493
34,coex_CLS,24,31,0.36315982404692093
35,coex_EMC,23,27,0.4846079846079845
36,coex_CLT,26,35,0.3057142857142856
37,coex_core,31,34,0.5170343137254902
38,coex_WBL,20,34,0.255703259005146
39,co-essential,4,8,0.5208333333333335
40,GOBP,17,22,1.4415584415584415
41,ppi,48,47,0.11537653975363948
42,reactome_copathway,14,8,0.2619047619047623
43,MP,16,18,-0.20624999999999982
44,HP,13,28,0.4039131600107213
45,GI_net,13,15,-0.07948717948717965
46,gene_gene_on_CbG_name_mapped,10,9,0.0584795321637428
47,gene_gene_on_GcG_name_mapped,26,26,0.07692307692307687
48,GOMF,9,7,1.0
