,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Corneal_ulceration nodes,sAB
0,coex_KDN,34,33,0.09408422459893062
1,coex_BST,25,19,0.18045112781954842
2,coex_OVR,18,27,0.3912198912198912
3,coex_LNG,27,37,0.8679485937550451
4,coex_ITI,33,28,0.06414141414141428
5,coex_VGN,34,26,0.49698340874811464
6,coex_HRV,16,25,0.5165548780487805
7,coex_MSG,25,33,0.5005433646812956
8,coex_ADV,23,21,0.9510634293242988
9,coex_EMS,28,20,0.7149330181245075
10,coex_SMU,24,18,0.04563492063492047
11,coex_ARG,30,19,0.24716312056737588
12,coex_TST,32,25,0.18929824561403508
13,coex_PIT,35,27,0.3640211640211639
14,coex_LVR,22,26,0.20949883449883444
15,coex_THY,23,19,1.1479460847240048
16,coex_PNC,30,21,0.338888888888889
17,coex_ATC,29,25,0.49583652618135376
18,coex_BRO,45,23,0.6150079641319097
19,coex_SKN,25,23,0.4752173913043478
20,coex_ADS,21,28,0.8452380952380953
21,coex_GEJ,29,26,0.7261335289801907
22,coex_BRB,35,19,0.9501531606794766
23,coex_UTR,17,13,0.26289592760181035
24,coex_STM,29,30,0.33532047535554277
25,coex_HRA,23,25,0.758695652173913
26,coex_PRS,23,14,0.09883330535504475
27,coex_ATA,25,25,0.4080442176870749
28,coex_FIB,16,18,0.30637254901960786
29,coex_BRC,37,19,0.26210420947263025
30,coex_ATT,26,19,0.6805816135084424
31,coex_TNV,21,20,0.7750000000000004
32,coex_SPL,24,20,0.13030303030303014
33,coex_LCL,11,9,-0.010167464114832825
34,coex_CLS,31,23,0.3308211143695017
35,coex_EMC,22,24,0.20098814229249018
36,coex_CLT,30,24,0.10909215203718903
37,coex_core,32,37,0.7419354838709675
38,coex_WBL,18,28,0.023809523809523725
39,co-essential,6,5,-0.5333333333333332
40,GOBP,29,9,1.5904761904761906
41,ppi,50,49,0.14256441970727685
42,reactome_copathway,13,21,1.2183583959899749
43,MP,12,19,1.0982905982905988
44,HP,20,22,0.6009740259740262
45,GI_net,17,18,0.10661764705882337
46,gene_gene_on_CbG_name_mapped,17,9,0.5191050779286073
47,gene_gene_on_GcG_name_mapped,38,26,0.0894483805668016
48,GOMF,6,3,
