,Layer,Joint_hemorrhage nodes,Hereditary_factor_IX_deficiency_disease nodes,sAB
0,coex_KDN,38,40,0.20993589743589736
1,coex_BST,17,30,0.7063405797101447
2,coex_OVR,26,26,0.8653846153846154
3,coex_LNG,33,34,0.2575757575757578
4,coex_ITI,25,32,0.27103070175438604
5,coex_VGN,30,30,0.40714285714285725
6,coex_HRV,21,16,0.5378056628056629
7,coex_MSG,37,34,0.22061622517297752
8,coex_ADV,23,30,0.6523550724637681
9,coex_EMS,21,24,0.9730158730158731
10,coex_SMU,27,21,1.1279761904761905
11,coex_ARG,21,24,0.48068181818181843
12,coex_TST,30,30,0.15000000000000013
13,coex_PIT,27,34,0.03464134708107691
14,coex_LVR,40,39,0.1261846802986042
15,coex_THY,26,28,0.8557482822188707
16,coex_PNC,29,29,0.5794334975369457
17,coex_ATC,31,31,0.20967741935483852
18,coex_BRO,27,27,0.0954415954415957
19,coex_SKN,30,32,0.3954741379310347
20,coex_ADS,31,21,0.002498418722327589
21,coex_GEJ,20,29,1.4763366750208857
22,coex_BRB,20,14,0.03214285714285725
23,coex_UTR,9,22,0.9473484848484852
24,coex_STM,30,33,0.36789321789321794
25,coex_HRA,18,30,0.5666666666666664
26,coex_PRS,21,28,0.010204081632652962
27,coex_ATA,31,27,0.10127453191969327
28,coex_FIB,13,26,0.019230769230769607
29,coex_BRC,17,29,0.294486446616264
30,coex_ATT,30,29,0.3928571428571428
31,coex_TNV,26,14,0.6023931623931622
32,coex_SPL,35,38,0.048089401586157265
33,coex_LCL,8,22,-0.024621212121211933
34,coex_CLS,20,36,0.27889495751958515
35,coex_EMC,32,31,0.33472699629825486
36,coex_CLT,27,34,0.5566365007541476
37,coex_core,31,34,0.31780075219112947
38,coex_WBL,31,35,0.22368384303868183
39,co-essential,0,8,
40,GOBP,29,30,0.3008241758241761
41,ppi,49,49,-0.11224489795918369
42,reactome_copathway,21,17,-0.17079831932773115
43,MP,22,16,0.7547619047619047
44,HP,24,18,-0.18253968253968278
45,GI_net,8,16,-0.16666666666666652
46,gene_gene_on_CbG_name_mapped,16,12,-0.03720238095238071
47,gene_gene_on_GcG_name_mapped,33,32,-0.26107954545454537
48,GOMF,7,7,
