,Layer,Stomatitis nodes,Pneumonia nodes,sAB
0,coex_KDN,47,36,0.15527318098240106
1,coex_BST,31,23,0.37755960729312754
2,coex_OVR,33,28,0.1016835016835016
3,coex_LNG,43,35,0.28952380952380974
4,coex_ITI,45,31,0.08107904169024716
5,coex_VGN,35,22,0.02012987012987022
6,coex_HRV,25,31,0.10214854111405836
7,coex_MSG,41,38,0.04341008433402105
8,coex_ADV,33,35,0.3366819455054748
9,coex_EMS,35,26,0.20094058483888988
10,coex_SMU,35,23,0.29989291068751367
11,coex_ARG,31,22,0.032147028090232954
12,coex_TST,40,25,0.0328846153846154
13,coex_PIT,37,33,0.26848016848016854
14,coex_LVR,35,32,0.18180303837953082
15,coex_THY,37,23,0.4517215262425287
16,coex_PNC,33,26,0.356406305558848
17,coex_ATC,42,26,0.14562039707653085
18,coex_BRO,37,35,0.16953024453024446
19,coex_SKN,38,23,0.13336306868867065
20,coex_ADS,30,24,0.32247295469912096
21,coex_GEJ,36,30,0.28222495894909727
22,coex_BRB,22,28,-0.002467532467532507
23,coex_UTR,31,17,0.1388081395348837
24,coex_STM,40,31,0.24378123580190802
25,coex_HRA,34,25,0.2182652043868396
26,coex_PRS,37,28,0.1261904761904762
27,coex_ATA,38,26,0.5496604414261461
28,coex_FIB,33,26,0.3141519497451699
29,coex_BRC,33,24,0.21451355661881966
30,coex_ATT,35,24,0.36206896551724155
31,coex_TNV,21,24,0.17638888888888937
32,coex_SPL,43,23,-0.02007485268354836
33,coex_LCL,33,16,-0.11207096474953637
34,coex_CLS,36,24,0.09305555555555545
35,coex_EMC,37,27,-0.04487299799799782
36,coex_CLT,38,29,0.3919172932330828
37,coex_core,46,34,0.19731457800511487
38,coex_WBL,43,30,0.05858553679515777
39,co-essential,13,9,1.9875730994152048
40,GOBP,15,12,1.6111111111111112
41,ppi,49,50,0.23024531024531036
42,reactome_copathway,22,25,0.3627906976744184
43,MP,11,11,0.9744019138755982
44,HP,25,12,0.051036036036036014
45,GI_net,27,22,0.2561536691971473
46,gene_gene_on_CbG_name_mapped,8,14,0.017857142857142794
47,gene_gene_on_GcG_name_mapped,28,29,0.08591521908218835
48,GOMF,4,2,
