,Layer,Prostatitis nodes,Cholangitis nodes,sAB
0,coex_KDN,35,42,-0.3049783549783549
1,coex_BST,19,25,-0.13762273901808797
2,coex_OVR,15,26,-0.025824175824175732
3,coex_LNG,30,30,0.28552769070010475
4,coex_ITI,28,35,-0.31825396825396823
5,coex_VGN,18,28,-0.07677201315308735
6,coex_HRV,21,25,-0.3356277056277055
7,coex_MSG,30,32,-0.3041330645161291
8,coex_ADV,24,28,-0.23168498168498153
9,coex_EMS,16,23,-0.026755852842809347
10,coex_SMU,16,28,0.07509157509157527
11,coex_ARG,21,21,-0.28571428571428603
12,coex_TST,23,32,-0.3509634387351779
13,coex_PIT,25,32,-0.32029481132075466
14,coex_LVR,30,31,-0.19249134317477656
15,coex_THY,26,27,0.3846153846153846
16,coex_PNC,22,25,-0.27374741200828145
17,coex_ATC,17,22,0.08700679288914559
18,coex_BRO,28,25,0.09068627450980404
19,coex_SKN,18,26,-0.04471544715447173
20,coex_ADS,18,28,0.1338383838383841
21,coex_GEJ,18,28,-0.31094998975199806
22,coex_BRB,17,21,-0.29107142857142865
23,coex_UTR,14,19,-0.2597402597402598
24,coex_STM,25,33,0.06523809523809532
25,coex_HRA,23,27,0.0050167224080266415
26,coex_PRS,24,26,-0.0566666666666662
27,coex_ATA,19,21,0.41328320802005036
28,coex_FIB,23,19,-0.1086661953576058
29,coex_BRC,23,29,-0.18173913043478263
30,coex_ATT,14,23,0.37453416149068364
31,coex_TNV,12,20,-0.03125
32,coex_SPL,26,23,0.2854020979020979
33,coex_LCL,17,19,0.38140694874440983
34,coex_CLS,21,30,-0.07620780675091998
35,coex_EMC,18,21,-0.36342383107088994
36,coex_CLT,24,32,0.19187438905180842
37,coex_core,32,38,-0.06502361774388721
38,coex_WBL,26,28,-0.03734612696876849
39,co-essential,7,11,0.15017825311942934
40,GOBP,18,24,1.2979323308270678
41,ppi,50,48,-0.0802040816326528
42,reactome_copathway,16,17,-0.1395833333333334
43,MP,16,17,-0.33308702791461453
44,HP,19,21,0.12957393483709279
45,GI_net,18,18,-0.2826797385620914
46,gene_gene_on_CbG_name_mapped,14,13,-0.1815221815221817
47,gene_gene_on_GcG_name_mapped,31,30,-0.21337035078441757
48,GOMF,5,6,
