,Layer,Cataplexy_and_narcolepsy nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,32,29,0.11772172706019868
1,coex_BST,21,19,0.30476190476190457
2,coex_OVR,20,21,-0.06886446886446906
3,coex_LNG,22,31,0.4511355111505151
4,coex_ITI,28,24,0.468635531135531
5,coex_VGN,26,25,-0.09926093514328782
6,coex_HRV,16,16,0.24305555555555536
7,coex_MSG,28,26,-0.008190883190883236
8,coex_ADV,19,20,0.3661764705882353
9,coex_EMS,22,22,0.42875620314644713
10,coex_SMU,19,19,0.07560501678148723
11,coex_ARG,18,22,-0.03762626262626245
12,coex_TST,24,24,-0.04166666666666674
13,coex_PIT,24,25,0.12010638297872367
14,coex_LVR,19,33,0.23245614035087736
15,coex_THY,16,19,0.3267676767676768
16,coex_PNC,17,21,0.11020197552705246
17,coex_ATC,21,22,0.27954797140843635
18,coex_BRO,30,24,0.2185897435897437
19,coex_SKN,20,18,0.15307017543859658
20,coex_ADS,18,16,-0.0018382352941177516
21,coex_GEJ,25,19,0.49898887765419575
22,coex_BRB,25,15,0.20018018018018013
23,coex_UTR,13,21,-0.21396250808015482
24,coex_STM,26,26,0.3353846153846156
25,coex_HRA,20,19,0.38172514619883025
26,coex_PRS,23,27,0.1072368889205153
27,coex_ATA,18,17,0.6176470588235299
28,coex_FIB,13,17,0.12176724137931028
29,coex_BRC,25,23,0.3114492753623188
30,coex_ATT,19,17,0.635416666666667
31,coex_TNV,16,15,0.619950738916256
32,coex_SPL,19,38,0.9311877667140824
33,coex_LCL,11,16,0.16714285714285726
34,coex_CLS,30,24,0.5185832791151592
35,coex_EMC,16,26,-0.13076923076923075
36,coex_CLT,26,24,0.38301282051282026
37,coex_core,30,32,0.44955000505612297
38,coex_WBL,21,34,-0.05552032133608131
39,co-essential,8,11,0.5765550239234449
40,GOBP,25,28,1.3792249417249418
41,ppi,49,50,0.2715295815295813
42,reactome_copathway,17,10,1.0243055555555556
43,MP,20,15,2.114285714285714
44,HP,20,22,1.3233766233766233
45,GI_net,11,16,0.13818181818181818
46,gene_gene_on_CbG_name_mapped,7,15,0.555844155844156
47,gene_gene_on_GcG_name_mapped,27,32,0.10027267733835532
48,GOMF,10,2,
