,Layer,Cholelithiasis nodes,Factor_VII_deficiency nodes,sAB
0,coex_KDN,30,35,0.2512820512820513
1,coex_BST,22,20,0.21060606060606046
2,coex_OVR,20,20,-0.15000000000000013
3,coex_LNG,28,28,0.3993386243386241
4,coex_ITI,27,25,0.05002849002849019
5,coex_VGN,24,32,0.0535416666666666
6,coex_HRV,19,13,0.6808367071524963
7,coex_MSG,25,27,0.251937321937322
8,coex_ADV,20,28,0.41201201201201165
9,coex_EMS,22,19,-0.084090909090909
10,coex_SMU,21,16,-0.07818532818532775
11,coex_ARG,22,17,0.09221170985876848
12,coex_TST,26,27,0.1891361608342741
13,coex_PIT,24,21,0.010227272727272751
14,coex_LVR,32,38,0.33750967492260053
15,coex_THY,21,24,0.7972426124600034
16,coex_PNC,19,27,0.24002034070683953
17,coex_ATC,21,21,-0.023809523809523725
18,coex_BRO,22,18,-0.23308080808080778
19,coex_SKN,22,28,0.20391022021456795
20,coex_ADS,16,18,0.3171717171717172
21,coex_GEJ,19,22,0.49298245614035086
22,coex_BRB,13,15,-0.24871794871794872
23,coex_UTR,17,14,0.04255895906749796
24,coex_STM,23,31,0.2941145914497949
25,coex_HRA,21,27,0.43121693121693117
26,coex_PRS,20,24,0.2943181818181815
27,coex_ATA,14,15,0.20344827586206904
28,coex_FIB,17,12,0.43534482758620685
29,coex_BRC,23,21,0.2142857142857144
30,coex_ATT,21,20,0.2322344322344323
31,coex_TNV,17,18,0.27658942364824757
32,coex_SPL,27,35,0.610394265232975
33,coex_LCL,14,5,-0.07142857142857117
34,coex_CLS,26,27,0.1724786324786325
35,coex_EMC,26,23,0.4614850921511422
36,coex_CLT,24,27,-0.06032051282051287
37,coex_core,27,28,0.338608957795004
38,coex_WBL,24,20,2.2147727272727273
39,co-essential,4,6,1.1833333333333327
40,GOBP,32,29,0.49181547619047583
41,ppi,48,50,0.30550170068027227
42,reactome_copathway,15,21,0.36190476190476195
43,MP,13,13,1.0250000000000004
44,HP,20,24,0.47159090909090917
45,GI_net,12,16,0.2559523809523814
46,gene_gene_on_CbG_name_mapped,19,23,0.47651738040754066
47,gene_gene_on_GcG_name_mapped,29,36,0.21347627468317132
48,GOMF,4,8,
