,Layer,Multiple_myeloma nodes,Intracranial_swelling nodes,sAB
0,coex_KDN,43,36,0.06750645994832061
1,coex_BST,24,18,0.7727272727272725
2,coex_OVR,30,29,0.06947325209575705
3,coex_LNG,38,25,0.09671052631578947
4,coex_ITI,40,34,0.22104531001589822
5,coex_VGN,28,29,0.13858038513210902
6,coex_HRV,31,31,0.43646801530891177
7,coex_MSG,41,33,-0.09198777491460408
8,coex_ADV,36,19,0.22301967038809156
9,coex_EMS,34,20,0.4028867102396516
10,coex_SMU,27,20,0.4235027580772259
11,coex_ARG,24,23,0.17391304347826075
12,coex_TST,37,30,-0.07565550625252104
13,coex_PIT,41,33,0.26196040830187184
14,coex_LVR,37,34,0.27245907879710685
15,coex_THY,32,22,0.6986451048951046
16,coex_PNC,28,25,0.4885579514824798
17,coex_ATC,32,16,0.22643678160919567
18,coex_BRO,39,35,0.1452529452529452
19,coex_SKN,29,28,0.3212927280916871
20,coex_ADS,32,25,0.3922727272727271
21,coex_GEJ,32,20,0.3531249999999999
22,coex_BRB,32,33,0.08492063492063484
23,coex_UTR,20,17,0.45661764705882346
24,coex_STM,39,35,0.337971858922705
25,coex_HRA,30,27,0.6270753512132825
26,coex_PRS,30,23,0.30096627510420637
27,coex_ATA,30,22,0.18613053613053632
28,coex_FIB,30,16,0.20930232558139528
29,coex_BRC,35,32,0.4015458422174838
30,coex_ATT,29,24,0.37836670718444143
31,coex_TNV,35,24,0.2995863599677162
32,coex_SPL,27,23,0.7104892462035322
33,coex_LCL,27,15,0.4615384615384617
34,coex_CLS,37,32,0.1199494949494948
35,coex_EMC,27,27,0.46296296296296324
36,coex_CLT,38,30,0.12083457083457083
37,coex_core,40,36,0.39177927927927936
38,coex_WBL,33,27,0.7136620441705186
39,co-essential,14,5,0.790909090909091
40,GOBP,7,14,0.45769230769230784
41,ppi,50,50,0.17999999999999972
42,reactome_copathway,20,21,0.3894736842105264
43,MP,15,10,-0.29700854700854773
44,HP,19,20,0.30978407557354926
45,GI_net,30,13,-0.3269856160100062
46,gene_gene_on_CbG_name_mapped,10,23,0.04123847167325412
47,gene_gene_on_GcG_name_mapped,31,37,0.10978768141955975
48,GOMF,5,3,
