,Layer,Gingivostomatitis nodes,Sepsis nodes,sAB
0,coex_KDN,28,39,0.05962631895467729
1,coex_BST,8,19,0.6338596491228068
2,coex_OVR,13,27,0.5235042735042734
3,coex_LNG,39,33,0.14642018779342703
4,coex_ITI,20,34,-0.052036199095022884
5,coex_VGN,15,19,0.15179995443153338
6,coex_HRV,21,33,0.5947570947570946
7,coex_MSG,36,39,0.04055555555555568
8,coex_ADV,31,34,0.39597868924244617
9,coex_EMS,11,24,0.385281385281385
10,coex_SMU,14,25,0.1352217602217598
11,coex_ARG,11,20,0.565102639296188
12,coex_TST,19,26,0.13981106612685568
13,coex_PIT,17,32,0.28125
14,coex_LVR,34,36,0.14493464052287597
15,coex_THY,15,21,1.0869047619047616
16,coex_PNC,20,29,0.10059523809523796
17,coex_ATC,29,28,0.2188829387918525
18,coex_BRO,21,32,0.23771619496855334
19,coex_SKN,19,23,0.10964912280701755
20,coex_ADS,22,23,-0.12850241545893715
21,coex_GEJ,32,30,0.5270833333333333
22,coex_BRB,20,33,0.21159459540790215
23,coex_UTR,7,20,-0.12738095238095237
24,coex_STM,31,34,0.1464311779302292
25,coex_HRA,21,31,0.3191192266380236
26,coex_PRS,9,26,0.47725490196078457
27,coex_ATA,34,31,-0.018644016746483638
28,coex_FIB,6,23,0.7356321839080464
29,coex_BRC,13,25,0.6933603238866395
30,coex_ATT,18,22,0.28174603174603163
31,coex_TNV,13,23,0.40896358543417355
32,coex_SPL,37,32,-0.026462895533104325
33,coex_LCL,13,19,0.2761752136752138
34,coex_CLS,12,28,-0.14978939978939998
35,coex_EMC,31,28,-0.08103448275862046
36,coex_CLT,21,31,0.03486312399355884
37,coex_core,36,38,0.3674281424281425
38,coex_WBL,35,34,0.25
39,co-essential,1,11,
40,GOBP,18,8,1.1636904761904758
41,ppi,47,49,0.07942991026197732
42,reactome_copathway,20,26,-0.05954545454545457
43,MP,14,8,1.0714285714285716
44,HP,14,14,0.03571428571428559
45,GI_net,12,22,-0.15963203463203435
46,gene_gene_on_CbG_name_mapped,18,17,-0.001073762838468717
47,gene_gene_on_GcG_name_mapped,25,32,-0.022182017543859622
48,GOMF,9,3,
