,Layer,Migraine nodes,Abetalipoproteinaemia nodes,sAB
0,coex_KDN,39,40,0.3416666666666668
1,coex_BST,26,31,0.36863297992330235
2,coex_OVR,29,36,0.18941202475685204
3,coex_LNG,28,37,0.5534127877877877
4,coex_ITI,33,40,0.30664176006641775
5,coex_VGN,34,33,0.07136776012983215
6,coex_HRV,22,24,0.45265151515151536
7,coex_MSG,35,40,0.3766666666666667
8,coex_ADV,30,28,0.007430213464696411
9,coex_EMS,25,30,0.449607843137255
10,coex_SMU,27,30,0.03684210526315823
11,coex_ARG,26,28,0.42265306122448987
12,coex_TST,37,36,0.2541819989003089
13,coex_PIT,33,32,0.10751019813519802
14,coex_LVR,27,35,0.14814814814814792
15,coex_THY,28,31,0.3083212062414096
16,coex_PNC,25,29,0.4174201787994889
17,coex_ATC,34,36,0.44626517273576094
18,coex_BRO,39,36,0.14679487179487194
19,coex_SKN,29,35,0.08571428571428585
20,coex_ADS,29,33,0.7548623049179222
21,coex_GEJ,25,32,0.9042165898617509
22,coex_BRB,31,27,0.28430619559651804
23,coex_UTR,25,21,0.2639751552795029
24,coex_STM,34,37,0.17195302178732175
25,coex_HRA,27,32,0.15046296296296302
26,coex_PRS,28,33,0.016059505466285096
27,coex_ATA,30,30,0.4488505747126439
28,coex_FIB,19,26,0.11511470985155192
29,coex_BRC,33,34,0.18001569691648678
30,coex_ATT,32,32,0.31913504759386546
31,coex_TNV,24,21,0.3378787878787879
32,coex_SPL,27,36,0.3558201058201058
33,coex_LCL,9,24,0.0766129032258065
34,coex_CLS,28,32,0.3258928571428572
35,coex_EMC,27,30,0.20750487329434675
36,coex_CLT,29,34,0.4403635017225278
37,coex_core,34,39,0.1612473886380481
38,coex_WBL,15,34,0.1682472989195678
39,co-essential,3,6,-0.38888888888888884
40,GOBP,16,24,0.7562500000000001
41,ppi,50,50,0.16000000000000014
42,reactome_copathway,17,12,0.9824604743083003
43,MP,16,14,1.7006118881118883
44,HP,26,27,0.18866264454499748
45,GI_net,16,13,-0.08753315649867366
46,gene_gene_on_CbG_name_mapped,11,11,0.36363636363636354
47,gene_gene_on_GcG_name_mapped,39,30,-0.03985507246376807
48,GOMF,4,7,
