,Layer,Asthma nodes,Familial_multiple_polyposis_syndrome nodes,sAB
0,coex_KDN,41,41,0.12164257753688679
1,coex_BST,20,28,0.5166666666666666
2,coex_OVR,25,32,0.13954545454545464
3,coex_LNG,32,38,0.14861372180451138
4,coex_ITI,35,39,-0.007256707256707351
5,coex_VGN,22,33,-0.09090909090909083
6,coex_HRV,29,28,0.1176540489153921
7,coex_MSG,34,42,0.10154061624649868
8,coex_ADV,25,28,0.167789757412399
9,coex_EMS,24,25,0.3052210884353741
10,coex_SMU,25,30,0.1799371069182394
11,coex_ARG,17,29,0.15374331550802145
12,coex_TST,27,35,-0.08206178528759178
13,coex_PIT,30,38,0.21195426195426204
14,coex_LVR,34,37,0.1585906536196513
15,coex_THY,21,32,0.17058344564240802
16,coex_PNC,20,33,0.19015151515151518
17,coex_ATC,25,34,0.1984932920536635
18,coex_BRO,29,32,0.08467001130582252
19,coex_SKN,22,34,0.023325693913929246
20,coex_ADS,26,27,-0.00573990279872616
21,coex_GEJ,25,28,-0.11660256410256409
22,coex_BRB,24,27,0.09232026143790861
23,coex_UTR,15,22,0.06666666666666643
24,coex_STM,32,41,0.02951156866020721
25,coex_HRA,26,33,0.19193181818181815
26,coex_PRS,28,30,-0.07163742690058506
27,coex_ATA,27,29,0.08604424202992877
28,coex_FIB,18,30,-0.3237547892720305
29,coex_BRC,21,33,-0.1937752695417787
30,coex_ATT,23,31,0.11726051867683163
31,coex_TNV,23,23,0.35057092665788314
32,coex_SPL,22,28,0.4727891156462587
33,coex_LCL,12,20,0.17499999999999982
34,coex_CLS,25,32,-0.06921658986175094
35,coex_EMC,23,34,-0.007246376811594235
36,coex_CLT,29,36,0.170940170940171
37,coex_core,35,40,0.15428571428571436
38,coex_WBL,28,35,0.2039682539682539
39,co-essential,9,15,0.43918128654970756
40,GOBP,14,14,0.9090909090909092
41,ppi,49,50,0.13137291280148422
42,reactome_copathway,21,28,0.6516037568669146
43,MP,12,16,0.7956649831649836
44,HP,10,22,0.8017045454545455
45,GI_net,17,25,0.12617647058823533
46,gene_gene_on_CbG_name_mapped,12,12,0.29166666666666674
47,gene_gene_on_GcG_name_mapped,25,39,-0.1217948717948718
48,GOMF,5,4,
