,Layer,Primary_dilated_cardiomyopathy nodes,Germ_cell_tumor_of_testis nodes,sAB
0,coex_KDN,31,36,0.06852635289970044
1,coex_BST,21,24,0.40610290971330754
2,coex_OVR,24,29,0.11669106484493641
3,coex_LNG,25,37,0.34254577157802935
4,coex_ITI,27,31,0.23824825938285343
5,coex_VGN,28,36,0.45078714545927645
6,coex_HRV,40,20,0.6125000000000003
7,coex_MSG,44,36,0.49103535353535355
8,coex_ADV,20,30,0.27916666666666634
9,coex_EMS,34,32,1.1458795782463929
10,coex_SMU,36,24,0.37777777777777777
11,coex_ARG,21,27,0.19607959022852617
12,coex_TST,30,39,0.1980490523968783
13,coex_PIT,26,30,0.017948717948717885
14,coex_LVR,18,27,0.025925925925925686
15,coex_THY,31,26,0.7637953444405059
16,coex_PNC,16,25,0.20999999999999996
17,coex_ATC,38,31,1.0455960281936514
18,coex_BRO,27,32,0.19661764100028867
19,coex_SKN,24,38,0.42168930390492365
20,coex_ADS,21,31,0.890085388994307
21,coex_GEJ,24,31,1.1929032258064516
22,coex_BRB,21,16,0.25627413127413146
23,coex_UTR,22,27,0.2245069745069741
24,coex_STM,29,29,0.0862068965517242
25,coex_HRA,43,27,0.47969455050329746
26,coex_PRS,43,33,0.6779514854790252
27,coex_ATA,19,26,0.07546370398267577
28,coex_FIB,17,23,0.3597186700767263
29,coex_BRC,30,31,0.1125192012288787
30,coex_ATT,29,28,0.5571935670820052
31,coex_TNV,26,24,0.6688596491228069
32,coex_SPL,23,25,0.01811594202898581
33,coex_LCL,24,22,0.18231658692184993
34,coex_CLS,28,30,0.27592592592592613
35,coex_EMC,19,32,0.6203216374269003
36,coex_CLT,24,28,0.43137254901960786
37,coex_core,41,36,1.2110975609756096
38,coex_WBL,34,29,0.7518255578093305
39,co-essential,11,9,0.6717171717171717
40,GOBP,23,18,1.3752525252525247
41,ppi,49,49,0.3877551020408163
42,reactome_copathway,17,17,0.5551470588235294
43,MP,25,23,1.3603726708074535
44,HP,38,18,0.7973057644110277
45,GI_net,17,17,0.3382352941176472
46,gene_gene_on_CbG_name_mapped,11,13,0.05215617715617715
47,gene_gene_on_GcG_name_mapped,27,38,0.05626030889188782
48,GOMF,2,4,
