,Layer,Glioma nodes,Testicular_neoplasm nodes,sAB
0,coex_KDN,44,41,-0.11372660238230292
1,coex_BST,39,32,0.007368311036789255
2,coex_OVR,38,35,0.13136925745621397
3,coex_LNG,36,41,0.3028895224017174
4,coex_ITI,40,36,0.03296783625730981
5,coex_VGN,38,42,-0.02431077694235584
6,coex_HRV,18,15,-0.3756127450980391
7,coex_MSG,43,41,-0.0371323231504741
8,coex_ADV,28,36,0.4732142857142858
9,coex_EMS,36,40,0.3994142440959525
10,coex_SMU,35,33,-0.16072065189712248
11,coex_ARG,37,35,0.18235735735735736
12,coex_TST,39,43,-0.07018921709789572
13,coex_PIT,43,35,0.12100690007666737
14,coex_LVR,40,34,-0.03848039215686261
15,coex_THY,35,32,0.4678308823529411
16,coex_PNC,39,33,-0.13543123543123547
17,coex_ATC,41,39,0.12953095684803007
18,coex_BRO,39,34,0.022144522144521783
19,coex_SKN,35,41,0.1242527049330644
20,coex_ADS,30,32,0.5290178571428572
21,coex_GEJ,35,42,0.639561905146806
22,coex_BRB,31,12,-0.06658395368072778
23,coex_UTR,30,41,0.216996951219512
24,coex_STM,35,36,0.05817683881064162
25,coex_HRA,35,34,0.1901899890390939
26,coex_PRS,39,35,0.21567171567171606
27,coex_ATA,34,30,0.4039215686274513
28,coex_FIB,37,33,-0.07943566095740007
29,coex_BRC,40,34,0.1846581875993638
30,coex_ATT,35,35,0.2823529411764705
31,coex_TNV,19,21,0.1882205513784463
32,coex_SPL,32,34,-0.22281639928698738
33,coex_LCL,30,31,0.01140155728587322
34,coex_CLS,38,36,0.07702068265448547
35,coex_EMC,36,38,-0.007656465106428145
36,coex_CLT,37,38,-0.12162162162162171
37,coex_core,41,41,0.2804878048780488
38,coex_WBL,38,32,0.09696898496240602
39,co-essential,14,20,0.7776785714285714
40,GOBP,10,17,-0.1845238095238093
41,ppi,49,49,0.08163265306122436
42,reactome_copathway,27,22,0.3119489206445729
43,MP,11,10,0.8863636363636367
44,HP,20,23,-0.013494167550371028
45,GI_net,26,27,-0.07211538461538458
46,gene_gene_on_CbG_name_mapped,11,11,-0.045454545454545414
47,gene_gene_on_GcG_name_mapped,32,36,-0.18944035947712412
48,GOMF,4,3,
