,Layer,Precocious_puberty nodes,Neoplasm_of_the_pancreas nodes,sAB
0,coex_KDN,35,43,-0.2586188321482441
1,coex_BST,27,34,-0.23235848011520988
2,coex_OVR,26,32,-0.34398617511520735
3,coex_LNG,32,39,-0.20225563909774458
4,coex_ITI,33,40,-0.2098873348873349
5,coex_VGN,33,35,-0.21105169340463448
6,coex_HRV,19,26,-0.29870813397129203
7,coex_MSG,33,39,-0.1591880341880343
8,coex_ADV,29,32,0.24084051724137945
9,coex_EMS,27,36,0.12287687202941466
10,coex_SMU,28,31,-0.22517183472623592
11,coex_ARG,36,32,-0.32741871002132195
12,coex_TST,35,39,-0.08906048906048913
13,coex_PIT,33,35,-0.2690158831510894
14,coex_LVR,29,38,-0.27506297911531274
15,coex_THY,33,31,-0.17541849951124133
16,coex_PNC,25,38,-0.1585881370091895
17,coex_ATC,30,35,-0.061280249804839926
18,coex_BRO,32,31,-0.34917434715821827
19,coex_SKN,29,33,-0.09920859242509894
20,coex_ADS,22,31,0.2693939393939391
21,coex_GEJ,32,34,0.031432231098526664
22,coex_BRB,26,24,-0.3410256410256409
23,coex_UTR,22,28,-0.2540541469112898
24,coex_STM,30,39,-0.032162764771460406
25,coex_HRA,29,34,0.08509127789046644
26,coex_PRS,25,34,-0.29454777958614287
27,coex_ATA,32,28,-0.04042039822624144
28,coex_FIB,26,33,-0.335709549071618
29,coex_BRC,31,32,-0.35043842805939573
30,coex_ATT,30,31,-0.12038019451812554
31,coex_TNV,22,22,0.12440191387559807
32,coex_SPL,23,35,0.016770186335403725
33,coex_LCL,17,24,-0.38753196930946254
34,coex_CLS,28,33,-0.13962887067395258
35,coex_EMC,28,36,-0.1001706775900324
36,coex_CLT,27,35,-0.07465445194471232
37,coex_core,36,42,-0.1724831485105458
38,coex_WBL,29,35,-0.1693854477913268
39,co-essential,10,19,0.8475972540045764
40,GOBP,17,8,-0.862228260869565
41,ppi,50,50,-0.1100000000000001
42,reactome_copathway,21,36,0.7352941176470589
43,MP,11,9,-0.3525210084033614
44,HP,34,25,0.3531505483549351
45,GI_net,20,33,-0.1885237647690654
46,gene_gene_on_CbG_name_mapped,11,14,0.1759740259740259
47,gene_gene_on_GcG_name_mapped,30,34,-0.32138480392156854
48,GOMF,8,3,
