,Layer,Respiratory_insufficiency nodes,Methylmalonic_acidemia nodes,sAB
0,coex_KDN,42,48,0.15259740259740262
1,coex_BST,34,46,0.1876844383238243
2,coex_OVR,34,44,0.14290740219532783
3,coex_LNG,37,46,0.24419534778361385
4,coex_ITI,39,47,0.11358936297085731
5,coex_VGN,39,46,0.15388222178503508
6,coex_HRV,19,31,0.15775325410299912
7,coex_MSG,43,47,0.15056902523503224
8,coex_ADV,33,40,0.3129929431299292
9,coex_EMS,33,47,-0.07759970525927962
10,coex_SMU,41,46,0.13888177862288376
11,coex_ARG,36,45,0.27314814814814836
12,coex_TST,40,47,0.027057348985082053
13,coex_PIT,38,43,0.19392311528174422
14,coex_LVR,39,45,0.20814855875831495
15,coex_THY,37,43,0.4712118133170762
16,coex_PNC,35,43,0.07196599570060602
17,coex_ATC,35,42,0.11298701298701297
18,coex_BRO,35,41,0.03461397395928856
19,coex_SKN,37,46,0.21993370181775962
20,coex_ADS,29,25,1.129134412385644
21,coex_GEJ,30,45,-0.21444444444444444
22,coex_BRB,18,16,0.2528594771241828
23,coex_UTR,32,44,0.09156173218673214
24,coex_STM,36,43,0.17632796912308235
25,coex_HRA,37,45,0.05679012345679002
26,coex_PRS,38,44,0.13868304352899985
27,coex_ATA,31,35,0.47508727831308484
28,coex_FIB,30,46,0.03558352402746001
29,coex_BRC,37,46,-0.0551116333725028
30,coex_ATT,40,44,0.2727272727272725
31,coex_TNV,18,13,0.4922071392659628
32,coex_SPL,34,40,0.21108903020667724
33,coex_LCL,28,43,-0.0503098182572399
34,coex_CLS,38,47,-0.06120786439935366
35,coex_EMC,36,46,0.17576106126830782
36,coex_CLT,40,45,0.05392156862745101
37,coex_core,41,43,0.2010169354185236
38,coex_WBL,36,42,0.29731379731379715
39,co-essential,13,18,0.33774469258340245
40,GOBP,20,29,1.576779163609685
41,ppi,50,50,0.25
42,reactome_copathway,7,17,1.2125
43,MP,13,8,0.22117794486215558
44,HP,31,27,0.35096609401392476
45,GI_net,17,22,0.009358288770053402
46,gene_gene_on_CbG_name_mapped,12,18,0.47777777777777786
47,gene_gene_on_GcG_name_mapped,41,31,0.13971938106477855
48,GOMF,6,3,
