,Layer,Primary_dilated_cardiomyopathy nodes,Familial_multiple_polyposis_syndrome nodes,sAB
0,coex_KDN,31,41,-0.06207270101107332
1,coex_BST,21,28,0.02646198830409352
2,coex_OVR,24,32,0.09027777777777812
3,coex_LNG,25,38,-0.009273182957393544
4,coex_ITI,27,39,0.1155141155141155
5,coex_VGN,28,33,0.09841021047917575
6,coex_HRV,40,28,0.8872899159663867
7,coex_MSG,44,42,0.31039212725259246
8,coex_ADV,20,28,-0.11845238095238075
9,coex_EMS,34,25,0.23923273657288968
10,coex_SMU,36,30,0.36006944444444455
11,coex_ARG,21,29,0.16989795918367312
12,coex_TST,30,35,-0.12912087912087933
13,coex_PIT,26,38,-0.08924372039126127
14,coex_LVR,18,37,-0.08973518973518968
15,coex_THY,31,32,0.523353494623656
16,coex_PNC,16,33,-0.19734848484848477
17,coex_ATC,38,34,0.8293454223794783
18,coex_BRO,27,32,0.05730147520401774
19,coex_SKN,24,34,-0.04893509127789075
20,coex_ADS,21,27,0.1241331757289208
21,coex_GEJ,24,28,0.13093289689034382
22,coex_BRB,21,27,0.12996031746031722
23,coex_UTR,22,22,-0.09541427564683369
24,coex_STM,29,41,-0.021290400096119155
25,coex_HRA,43,33,0.6783310767760433
26,coex_PRS,43,30,0.09188170330253786
27,coex_ATA,19,29,-0.06820931639443417
28,coex_FIB,17,30,0.06855061773925875
29,coex_BRC,30,33,-0.21792763157894712
30,coex_ATT,29,31,-0.046955245781364674
31,coex_TNV,26,23,-0.005244755244755428
32,coex_SPL,23,28,0.1560711241018149
33,coex_LCL,24,20,0.06805555555555554
34,coex_CLS,28,32,0.2287824481372871
35,coex_EMC,19,34,0.26754385964912286
36,coex_CLT,24,36,-0.26111111111111107
37,coex_core,41,40,0.9130595862920652
38,coex_WBL,34,35,0.7304940157881337
39,co-essential,11,15,0.017748917748917847
40,GOBP,23,14,1.704545454545455
41,ppi,49,50,0.18301175015460736
42,reactome_copathway,17,28,0.7046374105197635
43,MP,25,16,0.986158536585366
44,HP,38,22,0.7963317384370017
45,GI_net,17,25,-0.08558823529411752
46,gene_gene_on_CbG_name_mapped,11,12,0.08629776021080371
47,gene_gene_on_GcG_name_mapped,27,39,0.06591556591556569
48,GOMF,2,4,
