,Layer,Pyelonephritis nodes,Prostatitis nodes,sAB
0,coex_KDN,42,35,0.06142857142857139
1,coex_BST,26,19,-0.05483204134366915
2,coex_OVR,32,15,-0.22425911854103342
3,coex_LNG,34,30,0.22526881720430136
4,coex_ITI,35,28,-0.13888888888888884
5,coex_VGN,32,18,0.282306470975487
6,coex_HRV,26,21,-0.1498778998778998
7,coex_MSG,35,30,-0.11373626373626378
8,coex_ADV,31,24,-0.37948717948717947
9,coex_EMS,22,16,-0.15315315315315337
10,coex_SMU,26,16,-0.281135531135531
11,coex_ARG,21,21,-0.16666666666666696
12,coex_TST,27,23,-0.15056360708534622
13,coex_PIT,35,25,-0.21285714285714286
14,coex_LVR,36,30,-0.03402777777777777
15,coex_THY,25,26,0.35628205128205126
16,coex_PNC,29,22,-0.18996305418719195
17,coex_ATC,30,17,0.4382352941176473
18,coex_BRO,30,28,-0.11071428571428599
19,coex_SKN,26,18,0.07565891472868236
20,coex_ADS,24,18,-0.15674603174603163
21,coex_GEJ,29,18,-0.20029501162166996
22,coex_BRB,21,17,-0.29107142857142865
23,coex_UTR,20,14,0.1754201680672267
24,coex_STM,30,25,-0.010817610062892946
25,coex_HRA,25,23,0.06893280632411058
26,coex_PRS,29,24,-0.04724475997295485
27,coex_ATA,31,19,-0.0989616899391339
28,coex_FIB,20,23,-0.1571284125379171
29,coex_BRC,21,23,-0.24360060229625446
30,coex_ATT,30,14,0.45249709639953517
31,coex_TNV,24,12,-0.0031055900621117516
32,coex_SPL,27,26,0.25
33,coex_LCL,14,17,0.07526803824978279
34,coex_CLS,33,21,-0.010254430719656149
35,coex_EMC,30,18,0.17749269920734267
36,coex_CLT,32,24,0.12351190476190488
37,coex_core,40,32,-0.004890854820728485
38,coex_WBL,29,26,-0.22008547008546997
39,co-essential,4,7,-1.016666666666667
40,GOBP,14,18,0.7373076923076924
41,ppi,50,50,-0.07000000000000006
42,reactome_copathway,14,16,-0.23878205128205132
43,MP,16,16,0.3358974358974356
44,HP,13,19,-0.011247877758913338
45,GI_net,23,18,-0.032031688603331165
46,gene_gene_on_CbG_name_mapped,12,14,-0.23672161172161177
47,gene_gene_on_GcG_name_mapped,32,31,0.07714893753200203
48,GOMF,4,5,
