,Layer,Erythroderma nodes,Blepharitis nodes,sAB
0,coex_KDN,25,43,0.18748553742913332
1,coex_BST,19,41,0.15539152759948638
2,coex_OVR,31,41,0.4548802342862137
3,coex_LNG,27,45,0.4722222222222223
4,coex_ITI,24,42,0.2091450216450217
5,coex_VGN,41,42,0.24132768005821204
6,coex_HRV,9,15,1.3293650793650795
7,coex_MSG,38,45,0.19941872754174605
8,coex_ADV,13,39,0.1282051282051282
9,coex_EMS,24,42,0.04707792207792205
10,coex_SMU,20,41,0.4139898757478142
11,coex_ARG,15,41,0.31500230096640625
12,coex_TST,23,45,0.35063680281071585
13,coex_PIT,17,44,0.017182431840098156
14,coex_LVR,18,44,0.031565656565656575
15,coex_THY,21,25,0.3155454042081951
16,coex_PNC,13,41,0.06048919463553659
17,coex_ATC,20,42,0.1189324116743471
18,coex_BRO,15,38,0.01185656448814365
19,coex_SKN,40,43,0.17434855701877283
20,coex_ADS,35,19,0.2899363794100638
21,coex_GEJ,27,41,0.2676815983846115
22,coex_BRB,9,14,0.6756383712905452
23,coex_UTR,11,37,-0.12976044226044214
24,coex_STM,21,41,0.33951519238694683
25,coex_HRA,16,38,-0.09953703703703698
26,coex_PRS,24,41,0.2486475922451532
27,coex_ATA,17,36,0.658119658119658
28,coex_FIB,12,40,0.04855169340463461
29,coex_BRC,16,40,0.011607142857142705
30,coex_ATT,22,42,0.5703463203463204
31,coex_TNV,25,14,2.266666666666667
32,coex_SPL,19,41,0.04634146341463419
33,coex_LCL,10,39,-0.22697368421052655
34,coex_CLS,21,42,0.030721966205837337
35,coex_EMC,30,42,0.25476190476190497
36,coex_CLT,21,43,0.19031543600185752
37,coex_core,38,43,0.5445516942193578
38,coex_WBL,20,41,0.4208333333333334
39,co-essential,2,22,1.2954545454545459
40,GOBP,25,21,2.815675057208238
41,ppi,47,50,0.34746874314542664
42,reactome_copathway,14,25,0.34954844006568164
43,MP,22,13,1.0757575757575757
44,HP,37,36,0.24499851964640684
45,GI_net,13,29,-0.18435013262599487
46,gene_gene_on_CbG_name_mapped,3,4,0.24404761904761862
47,gene_gene_on_GcG_name_mapped,22,35,0.08104351788562325
48,GOMF,9,4,
