,Layer,Hepatic_encephalopathy nodes,Ulcerative_colitis nodes,sAB
0,coex_KDN,42,39,0.21970551378446102
1,coex_BST,22,15,0.15432900432900398
2,coex_OVR,23,26,-0.09778656126482232
3,coex_LNG,29,37,0.4633475069897486
4,coex_ITI,33,38,0.05523170923467413
5,coex_VGN,23,28,0.3753881987577641
6,coex_HRV,20,23,0.6558059384941677
7,coex_MSG,28,39,0.02554945054945068
8,coex_ADV,33,30,0.27222222222222237
9,coex_EMS,25,22,0.061212121212121495
10,coex_SMU,23,22,0.3555994729907772
11,coex_ARG,25,21,0.4452380952380952
12,coex_TST,27,27,-0.11111111111111116
13,coex_PIT,30,34,0.03921568627450989
14,coex_LVR,31,38,0.013803794197977393
15,coex_THY,25,26,-0.004615384615384688
16,coex_PNC,23,29,0.14887041773231036
17,coex_ATC,25,32,0.10696271929824563
18,coex_BRO,30,33,0.01601731601731582
19,coex_SKN,27,25,0.004807692307692513
20,coex_ADS,23,27,0.5293880837359097
21,coex_GEJ,27,30,0.2944827586206893
22,coex_BRB,24,26,0.11002661934338964
23,coex_UTR,18,18,0.5203548085901031
24,coex_STM,27,36,0.44510582010582
25,coex_HRA,30,27,0.30495657382449837
26,coex_PRS,19,30,0.481226533166458
27,coex_ATA,22,32,0.2471064814814814
28,coex_FIB,20,21,-0.10540069686411169
29,coex_BRC,29,24,0.13480392156862697
30,coex_ATT,24,23,0.4109848484848482
31,coex_TNV,21,20,0.6143437862950059
32,coex_SPL,34,33,0.38702210870779785
33,coex_LCL,15,24,0.4953726453726457
34,coex_CLS,28,25,0.31190883190883234
35,coex_EMC,22,28,0.24032467532467505
36,coex_CLT,27,31,0.10917259624156173
37,coex_core,36,39,0.10915750915750899
38,coex_WBL,31,35,0.24576176511660375
39,co-essential,7,7,0.5
40,GOBP,18,16,1.245454545454546
41,ppi,49,49,0.030612244897959107
42,reactome_copathway,23,18,0.28409090909090917
43,MP,15,14,0.6198475437605877
44,HP,27,18,0.5574074074074074
45,GI_net,23,24,-0.1521739130434785
46,gene_gene_on_CbG_name_mapped,31,10,-0.017781274586939455
47,gene_gene_on_GcG_name_mapped,31,27,-0.14928109421991498
48,GOMF,9,6,0.0
