,Layer,Infection_of_bone nodes,Myopathy nodes,sAB
0,coex_KDN,30,32,-0.18161962365591378
1,coex_BST,19,24,1.0953947368421053
2,coex_OVR,18,23,0.40423589018498873
3,coex_LNG,20,33,0.20008378848063524
4,coex_ITI,20,32,0.24857344253490865
5,coex_VGN,16,25,0.1276524390243905
6,coex_HRV,17,16,1.0285204991087344
7,coex_MSG,24,34,0.4522903989181879
8,coex_ADV,34,27,0.4309012066365008
9,coex_EMS,27,26,0.9406734006734006
10,coex_SMU,12,28,0.638694638694639
11,coex_ARG,11,24,0.5189393939393938
12,coex_TST,14,27,0.11691086691086694
13,coex_PIT,19,27,0.1763689526847423
14,coex_LVR,27,32,0.12231968810916172
15,coex_THY,9,23,1.3465909090909092
16,coex_PNC,30,23,0.7760719640179907
17,coex_ATC,16,25,0.7204268292682929
18,coex_BRO,13,27,0.8717948717948723
19,coex_SKN,15,29,0.1904761904761907
20,coex_ADS,24,16,1.4006410256410255
21,coex_GEJ,20,31,0.29020606544825034
22,coex_BRB,11,15,0.16666666666666652
23,coex_UTR,6,21,0.5082251082251079
24,coex_STM,22,30,0.29641311069882503
25,coex_HRA,18,27,0.6210119047619047
26,coex_PRS,12,32,0.8809760132340778
27,coex_ATA,28,25,0.3454415954415957
28,coex_FIB,6,24,0.579166666666667
29,coex_BRC,8,24,-0.09821428571428559
30,coex_ATT,26,25,0.6518918918918919
31,coex_TNV,31,18,0.9844747283077453
32,coex_SPL,25,32,-0.012840909090908958
33,coex_LCL,7,18,0.06698412698412692
34,coex_CLS,17,32,0.2612270714737508
35,coex_EMC,15,26,0.5515939015939018
36,coex_CLT,16,28,0.4064169570267133
37,coex_core,41,37,0.24404761904761885
38,coex_WBL,24,32,0.39583333333333304
39,co-essential,7,7,0.5714285714285712
40,GOBP,23,27,1.0403368794326244
41,ppi,47,49,0.12648357215226502
42,reactome_copathway,16,18,0.6243137254901963
43,MP,13,18,-0.5842245989304811
44,HP,12,26,0.3038124156545208
45,GI_net,15,19,-0.15997807017543852
46,gene_gene_on_CbG_name_mapped,14,16,-0.13720238095238102
47,gene_gene_on_GcG_name_mapped,29,27,-0.14801131180441507
48,GOMF,6,8,
