,Layer,Otitis_media nodes,Erysipelas nodes,sAB
0,coex_KDN,35,46,0.2526378345218925
1,coex_BST,25,22,0.24557032115171662
2,coex_OVR,26,34,0.6277768567639259
3,coex_LNG,38,37,0.6791038406827883
4,coex_ITI,32,42,0.07401645506181098
5,coex_VGN,28,39,0.13838573706994772
6,coex_HRV,19,31,0.011918505942275281
7,coex_MSG,41,41,0.14634146341463405
8,coex_ADV,30,33,0.12294805676340692
9,coex_EMS,26,27,0.24444444444444446
10,coex_SMU,22,28,0.15902597402597407
11,coex_ARG,19,30,0.1637931034482758
12,coex_TST,33,43,0.25954156003115614
13,coex_PIT,34,37,0.18120702826585178
14,coex_LVR,27,41,0.22995377012593643
15,coex_THY,23,36,0.05030500286579853
16,coex_PNC,23,30,0.09442472641230415
17,coex_ATC,30,37,0.24252386715073282
18,coex_BRO,33,42,0.21126134139832775
19,coex_SKN,29,35,-0.024153325123152936
20,coex_ADS,23,34,0.4938153917693562
21,coex_GEJ,35,36,0.45035650623885903
22,coex_BRB,29,31,0.3715239154616241
23,coex_UTR,17,29,1.2479968731678723
24,coex_STM,32,37,0.18910962593027825
25,coex_HRA,22,31,0.3917999225363802
26,coex_PRS,30,34,-0.19087009803921529
27,coex_ATA,24,37,0.24355708167183554
28,coex_FIB,22,21,0.30952380952380976
29,coex_BRC,24,31,0.21309872922776174
30,coex_ATT,27,39,0.19930274403958625
31,coex_TNV,16,37,0.4372329059829063
32,coex_SPL,24,32,-0.02455357142857162
33,coex_LCL,13,21,0.21266233766233755
34,coex_CLS,31,40,0.3815136476426799
35,coex_EMC,32,34,0.13636363636363624
36,coex_CLT,30,40,0.004166666666666652
37,coex_core,36,43,0.017204742362061154
38,coex_WBL,26,36,0.009615384615384581
39,co-essential,10,6,0.5
40,GOBP,16,21,0.49603174603174605
41,ppi,49,49,0.0714285714285714
42,reactome_copathway,20,24,1.0287081339712918
43,MP,17,15,0.6140056022408964
44,HP,22,19,0.21015826278984173
45,GI_net,21,21,0.0
46,gene_gene_on_CbG_name_mapped,8,14,0.17126623376623362
47,gene_gene_on_GcG_name_mapped,29,30,-0.1367329047340735
48,GOMF,8,8,
